level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,13,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Arsenal,Everton,,nan,,,0.0,0.0,,nan,1.0,Everton
1,2,3.0,0.0,0.0,31,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Everton,Arsenal,,nan,,,0.0,0.0,,nan,1.0,Everton
2,3,4.0,0.0,0.0,31,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.17'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.1'}]","[91, 117, 30, 35, 38, 215, 218]",True,80464.0,28.77,33.388000000000005,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Everton,Arsenal,27.0,Idrissa Gueye,MC,True,-23.73245663101774,0.0,-178.5226613618512,I. Gueye,1.0,Everton
3,4,5.0,0.0,4.0,31,29.82,35.768,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '24.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.84'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '44.4'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 216, 218]",True,110189.0,69.92999999999999,16.66,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Everton,Arsenal,1.0,Jordan Pickford,GK,True,36.07815194595045,0.0,-25.47265973578311,J. Pickford,1.0,Everton
4,5,4.0,0.0,8.0,13,30.240000000000002,49.980000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.84'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.0'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 117, 30, 139, 36, 37, 215, 218]",True,334087.0,34.230000000000004,54.400000000000006,,,,,,,,,,,0.13333333333333333,,,,3.0,5.0,3.0,6.0,0.01110462,0.0105949,-0.00050972,Arsenal,Everton,6.0,Gabriel Magalhaes,DC,True,2.79722918127311,0.0,47.92696190938733,G. Magalhaes,2.0,Arsenal
5,6,5.0,0.0,10.0,13,35.805,54.33200000000001,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,380706.0,35.805,54.33200000000001,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Arsenal,Everton,11.0,Gabriel Martinelli,FWL,True,0.0,0.0,0.0,G. Martinelli,2.0,Arsenal
6,7,6.0,0.0,12.0,13,36.96000000000001,56.03200000000001,0.0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 53]",True,380706.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Arsenal,Everton,11.0,Gabriel Martinelli,FWL,True,0.0,0.0,,G. Martinelli,2.0,Arsenal
7,8,6.0,0.0,13.0,31,68.04,11.968000000000002,0.0,FirstHalf,Tackle,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 142]",True,8166.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Everton,Arsenal,18.0,Ashley Young,DR,True,0.0,0.0,,A. Young,3.0,Everton
8,9,7.0,0.0,13.0,13,36.435,55.21600000000001,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",[91],True,380706.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Arsenal,Everton,11.0,Gabriel Martinelli,FWL,True,0.0,0.0,,G. Martinelli,3.0,Everton
9,10,7.0,0.0,15.0,31,66.15,1.1560000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '61.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.96'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 30, 35, 37, 216, 218]",True,317896.0,64.155,6.0520000000000005,,,,,,,,,,,0.25,,,,7.0,0.0,7.0,0.0,0.0174506,0.0174506,0.0,Everton,Arsenal,11.0,Jack Harrison,FWR,True,1.3814278351902303,0.0,112.16969130055317,J. Harrison,3.0,Everton
