level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,24,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Aston Villa,Man City,,nan,,,0.0,0.0,,nan,1.0,Man City
1,2,3.0,0.0,0.0,167,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man City,Aston Villa,,nan,,,0.0,0.0,,nan,1.0,Man City
2,3,4.0,0.0,0.0,167,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.19'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.5'}]","[91, 117, 30, 35, 38, 215, 218]",True,331254.0,30.240000000000002,32.980000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Man City,Aston Villa,47.0,Phil Foden,AMC,True,-22.26695794266341,0.0,-177.37642210721646,P. Foden,1.0,Man City
3,4,5.0,0.0,5.0,167,31.605000000000004,33.592,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '77.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '43.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.45'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.4'}]","[91, 120, 128, 36, 37, 217, 218]",True,133569.0,70.77000000000001,52.36000000000001,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Man City,Aston Villa,18.0,Stefan Ortega,GK,True,34.55308444812304,0.0,25.603897811066886,S. Ortega,1.0,Man City
4,5,4.0,0.0,8.0,24,25.935,15.028000000000002,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.40'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '36.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.4'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,331790.0,48.72,24.752000000000002,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Aston Villa,Man City,44.0,Boubacar Kamara,DMC,True,24.274593272136215,0.0,23.111432314088635,B. Kamara,1.0,Man City
5,6,6.0,0.0,11.0,167,56.910000000000004,42.29600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.31'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.7'}]","[91, 117, 30, 35, 37, 216, 218]",True,101374.0,45.885000000000005,54.33200000000001,,,,,,,,,,,0.18333333333333332,,,,6.0,4.0,5.0,6.0,0.01689528,0.0138454,-0.003049879999999998,Man City,Aston Villa,5.0,John Stones,DC,True,-13.713461113619402,0.0,132.48974610063135,J. Stones,1.0,Man City
6,7,6.5,0.0,11.5,167,45.885000000000005,54.33200000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,402664.0,40.32,49.980000000000004,,,,,,7.0,,,,,0.19166666666666665,,,,5.0,6.0,4.0,5.0,0.0138454,0.01269174,-0.0011536600000000008,Man City,Aston Villa,24.0,Josko Gvardiol,DL,True,0.0,-4.111005110107662,-141.97350642835042,J. Gvardiol,1.0,Man City
7,8,7.0,0.0,12.0,167,40.32,49.980000000000004,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}]","[91, 70]",True,402664.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Man City,Aston Villa,24.0,Josko Gvardiol,DL,True,0.0,0.0,,J. Gvardiol,1.0,Man City
8,9,5.0,0.0,13.0,24,64.68,18.02,0.0,FirstHalf,Tackle,Unsuccessful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}]","[91, 142]",True,318449.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Aston Villa,Man City,7.0,John McGinn,AMR,True,0.0,0.0,,J. McGinn,1.0,Man City
9,10,31.0,0.0,13.0,167,38.115,48.688,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.28'}]","[91, 118, 120, 29, 35, 38, 215, 218]",True,402664.0,34.65,41.14,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Man City,Aston Villa,24.0,Josko Gvardiol,DL,True,-2.2326400866005542,0.0,-114.65805717207708,J. Gvardiol,1.0,Man City
