level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,29,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,West Ham,Bournemouth,,nan,,,0.0,0.0,,nan,1.0,Bournemouth
1,2,3.0,0.0,0.0,183,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Bournemouth,West Ham,,nan,,,0.0,0.0,,nan,1.0,Bournemouth
2,3,4.0,0.0,0.0,183,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.34'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.8'}]","[91, 117, 30, 35, 38, 216, 218]",True,136456.0,47.04,32.912,,,,,,,,,,,0.0,,,,6.0,3.0,5.0,3.0,0.01689528,0.01484598,-0.0020492999999999987,Bournemouth,West Ham,4.0,Lewis Cook,DMC,True,-5.470210832806188,0.0,-168.73043371594275,L. Cook,1.0,Bournemouth
3,4,5.0,0.0,1.0,183,47.355000000000004,32.708000000000006,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '41.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.72'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 217, 218]",True,357073.0,82.53,10.336,,,,,,,,,,,0.016666666666666666,,,,,,,,,,,Bournemouth,West Ham,24.0,Antoine Semenyo,AMR,True,25.026889064240017,0.0,-32.457172176883745,A. Semenyo,1.0,Bournemouth
4,5,4.0,0.0,5.0,29,18.900000000000002,57.868,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.9'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.10'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.7'}]","[91, 117, 30, 139, 36, 37, 215, 218]",True,331924.0,31.185000000000002,59.092000000000006,,,,,,,,,,,0.08333333333333333,,,,2.0,6.0,3.0,7.0,0.00942382,0.00977659,0.0003527700000000005,West Ham,Bournemouth,29.0,Aaron Wan-Bissaka,DL,True,11.38381437391493,0.0,5.689812716420007,A. Wan-Bissaka,2.0,West Ham
5,6,5.0,0.0,6.0,29,31.5,59.29600000000001,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,400166.0,31.5,59.29600000000001,,,,,,,,,,,0.1,,,,,,,,,,,West Ham,Bournemouth,14.0,Mohammed Kudus,ML,True,0.0,0.0,0.0,M. Kudus,2.0,West Ham
6,7,5.5,0.0,7.5,29,31.5,59.29600000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,368310.0,35.805,60.52,,,,,,7.0,,,,,0.125,,,,3.0,6.0,4.0,7.0,0.0105949,0.01126267,0.0006677699999999998,West Ham,Bournemouth,26.0,Maximilian Kilman,DC,True,0.0,3.6281624328658637,15.87154077994733,M. Kilman,2.0,West Ham
7,8,862.0,0.0,9.0,29,33.285000000000004,64.464,0.0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 53]",True,400166.0,,,,,,,,,,,,,0.15,,,,,,,,,,,West Ham,Bournemouth,14.0,Mohammed Kudus,ML,True,0.0,0.0,,M. Kudus,2.0,West Ham
8,9,6.0,0.0,9.0,29,33.915,63.51200000000001,0.0,FirstHalf,Foul,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 13, 'displayName': 'Foul'}}]","[91, 63]",True,400166.0,,,,,,,,,,,,,0.15,,,,,,,,,,,West Ham,Bournemouth,14.0,Mohammed Kudus,ML,True,0.0,0.0,,M. Kudus,2.0,West Ham
9,10,6.0,0.0,9.0,183,71.08500000000001,4.488,0.0,FirstHalf,Foul,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",[64],False,128882.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Bournemouth,West Ham,10.0,Ryan Christie,DMC,True,0.0,0.0,,R. Christie,2.0,West Ham
