id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam
2760076903,AttemptSaved,8678,1250253,Dango Ouattara,91.9,54.5535544945,2,,True,True,93.9,51.49757961659999,33.31375,1.2199999940000001,0.018615851178765297,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.1815476190476193, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Dango,Ouattara,Dango Ouattara,#D71921,4506443,Bournemouth,West Ham
2760077695,Miss,8654,307317,Vladimir Coufal,101.0172413796,18.814522295299998,4,,False,False,,,29.127380951,3.8547586247999996,0.031790271401405334,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.8560781949980523, 'y': 0.6772486772486772, 'zoomRatio': 0.6641142154867928}",False,True,,Vladimir,Coufal,Vladimir Coufal,#7B2B3A,4506443,West Ham,Bournemouth
2760078343,AttemptSaved,8678,439369,Ryan Christie,82.7101941752,28.623095236999998,6,,True,True,86.0308823524,29.211428570000002,33.084999999999994,1.2199999940000001,0.03546706959605217,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.2420634920634936, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Ryan,Christie,Ryan Christie,#D71921,4506443,Bournemouth,West Ham
2760078915,AttemptSaved,8678,933576,Antoine Semenyo,98.4385964909,23.9992356735,8,,False,True,103.6724137932,32.24625,33.2375,1.3034736778000002,0.02053823694586754,0.03098280169069767,Header,RegularPlay,FirstHalf,False,"{'x': 1.2017195767195774, 'y': 0.34483430629629636, 'zoomRatio': 1}",False,True,30973.0,Antoine,Semenyo,Antoine Semenyo,#D71921,4506443,Bournemouth,West Ham
2760079751,AttemptSaved,8654,766435,Lucas Paqueta,90.6,24.349554145,11,,True,True,92.7,25.2446875,31.178749999999994,1.2199999940000001,0.05014212056994438,0.0,LeftFoot,FastBreak,FirstHalf,False,"{'x': 1.7463624338624355, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Lucas,Paquetá,Lucas Paquetá,#7B2B3A,4506443,West Ham,Bournemouth
2760080091,Post,8678,933576,Antoine Semenyo,91.7,27.53047619,12,,False,False,,,37.72,0.5265263132,0.17942044138908386,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.01587301587301626, 'y': 0.13929267544973545, 'zoomRatio': 1}",False,True,,Antoine,Semenyo,Antoine Semenyo,#D71921,4506443,Bournemouth,West Ham
2760080513,AttemptSaved,8654,865931,Max Kilman,100.5431034486,31.636249999999997,14,,True,True,101.3965517244,31.941249999999997,33.2375,1.2199999940000001,0.15772390365600586,0.0,Header,FromCorner,FirstHalf,False,"{'x': 1.2017195767195774, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Max,Kilman,Max Kilman,#7B2B3A,4506443,West Ham,Bournemouth
2760080905,AttemptSaved,8678,794253,Justin Kluivert,84.62475728160001,45.4020382125,15,,True,True,90.0,43.044375,33.61875,1.2199999940000001,0.03963693603873253,0.0,RightFoot,FastBreak,FirstHalf,False,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Justin,Kluivert,Justin Kluivert,#D71921,4506443,Bournemouth,West Ham
2760080991,Post,8654,523825,Jarrod Bowen,85.9235294112,32.17,15,,False,False,,,37.355000000000004,2.476,0.11613304913043976,0.0,LeftFoot,FastBreak,FirstHalf,False,"{'x': 0.11243386243386144, 'y': 0.655026455026455, 'zoomRatio': 1}",False,False,,Jarrod,Bowen,Jarrod Bowen,#7B2B3A,4506443,West Ham,Bournemouth
2760082323,AttemptSaved,8654,865931,Max Kilman,101.77586206919999,33.695,19,,False,True,102.629310345,33.695,34.07625,1.8299999910000002,0.25462818145751953,0.5373172163963318,Header,FromCorner,FirstHalf,False,"{'x': 0.9798280423280419, 'y': 0.48412698174603175, 'zoomRatio': 1}",False,True,317564.0,Max,Kilman,Max Kilman,#7B2B3A,4506443,West Ham,Bournemouth
