level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,189,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brentford,Nottingham Forest,,nan,,,0.0,0.0,,nan,1.0,Nottingham Forest
1,2,3.0,0.0,0.0,174,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Nottingham Forest,Brentford,,nan,,,0.0,0.0,,nan,1.0,Nottingham Forest
2,3,4.0,0.0,0.0,174,52.605000000000004,34.068000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.47'}]","[91, 117, 30, 35, 38, 215, 218]",True,350088.0,30.975,26.792,,,,,,,,,,,0.0,,,,6.0,4.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Nottingham Forest,Brentford,14.0,Callum Hudson-Odoi,AMC,True,-21.980058488725916,0.0,-161.40785061341398,C. Hudson-Odoi,1.0,Nottingham Forest
3,4,4.5,0.0,2.5,174,30.975,26.792,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,78386.0,38.325,19.652,,,,,,5.0,,,,,0.041666666666666664,,,,3.0,3.0,4.0,2.0,0.01132376,0.01269174,0.0013679799999999995,Nottingham Forest,Brentford,26.0,Matz Sels,GK,True,0.0,6.173777635257409,-44.169684513741984,M. Sels,1.0,Nottingham Forest
4,5,5.0,0.0,5.0,174,38.325,19.652,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.01'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '77.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '43.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.5'}]","[91, 120, 128, 36, 37, 217, 218]",True,78386.0,81.58500000000001,20.060000000000002,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Nottingham Forest,Brentford,26.0,Matz Sels,GK,True,40.95089700150733,0.0,0.5403602625445927,M. Sels,1.0,Nottingham Forest
5,6,4.0,0.0,9.0,189,23.730000000000004,48.96,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[197, 200]",False,94935.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Brentford,Nottingham Forest,16.0,Ben Mee,DC,True,0.0,0.0,,B. Mee,1.0,Nottingham Forest
6,7,6.0,0.0,9.0,174,81.27000000000001,19.040000000000003,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}]","[198, 199]",False,413211.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Nottingham Forest,Brentford,21.0,Anthony Elanga,AMC,True,0.0,0.0,,A. Elanga,1.0,Nottingham Forest
7,8,5.0,0.0,9.0,189,21.735,49.912000000000006,0.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.7'}, {'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.38'}]","[91, 94, 95, 57, 216]",True,94935.0,39.06,56.848,,,,,,,,,,,0.15,,,,,,,,,,,Brentford,Nottingham Forest,16.0,Ben Mee,DC,True,0.0,0.0,21.818513214167893,B. Mee,1.0,Nottingham Forest
8,9,7.0,0.0,12.0,174,61.845,10.132000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '18.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.93'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 216, 218]",True,315543.0,49.245,12.852,,,,,,,,,,,0.2,,,,7.0,1.0,5.0,1.0,0.01870347,0.0138454,-0.004858069999999999,Nottingham Forest,Brentford,34.0,Ola Aina,DMR,True,-10.31534339036272,0.0,167.81831831334705,O. Aina,1.0,Nottingham Forest
9,10,7.5,0.0,14.0,174,49.245,12.852,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,445424.0,47.25,16.796,,,,,,8.0,,,,,0.23333333333333334,,,,5.0,1.0,5.0,2.0,0.0138454,0.01429128,0.0004458799999999992,Nottingham Forest,Brentford,5.0,Murillo,DC,True,0.0,-0.6270976251920786,116.83173000185646,Murillo,1.0,Nottingham Forest
