level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,211,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brighton,Crystal Palace,,nan,,,0.0,0.0,,nan,1.0,Crystal Palace
1,2,3.0,0.0,0.0,162,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Crystal Palace,Brighton,,nan,,,0.0,0.0,,nan,1.0,Crystal Palace
2,3,4.0,0.0,0.0,162,52.5,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.87'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,332403.0,30.765,39.916000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,Crystal Palace,Brighton,10.0,Eberechi Eze,AMC,True,-21.97031436713032,0.0,164.6069010880343,E. Eze,1.0,Crystal Palace
3,4,5.0,0.0,3.0,162,29.715000000000003,37.672000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.8'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.09'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.6'}]","[91, 120, 128, 36, 38, 217, 218]",True,304008.0,75.39,28.628000000000004,,,,,,,,,,,0.05,,,,,,,,,,,Crystal Palace,Brighton,1.0,Dean Henderson,GK,True,45.28113428312441,0.0,-11.200128508192693,D. Henderson,1.0,Crystal Palace
4,5,4.0,0.0,6.0,211,29.61,39.644,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.6'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.04'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.4'}]","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,365402.0,38.43,54.604,,,,,,,,,,,0.1,,,,,,,,,,,Brighton,Crystal Palace,29.0,Jan Paul van Hecke,DC,True,5.915321848280513,0.0,59.47758085819945,J. P. van Hecke,1.0,Crystal Palace
5,6,6.0,0.0,10.0,162,67.62,13.260000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.37'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '17.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.3'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.6'}]","[91, 119, 117, 30, 139, 35, 38, 216, 218]",True,400496.0,60.165,11.56,,,,,,,,,,,0.16666666666666666,,,,7.0,1.0,6.0,1.0,0.01870347,0.01611813,-0.0025853399999999985,Crystal Palace,Brighton,12.0,Daniel Munoz,DMR,True,-7.388880500582587,0.0,-167.1542176679131,D. Munoz,1.0,Crystal Palace
6,7,7.0,0.0,11.0,162,60.165,10.744000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.34'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,353292.0,66.36,2.244,,,,,,,,,,,0.18333333333333332,,,,6.0,1.0,7.0,0.0,0.01611813,0.0174506,0.0013324699999999988,Crystal Palace,Brighton,27.0,Trevoh Chalobah,DC,True,0.49268179031308534,0.0,-53.91455388188587,T. Chalobah,1.0,Crystal Palace
7,8,8.0,0.0,13.0,162,66.25500000000001,1.7000000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.58'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.3'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,400496.0,73.185,6.256,,,,,,,,,,,0.21666666666666667,,,,7.0,0.0,8.0,0.0,0.0174506,0.02122129,0.00377069,Crystal Palace,Brighton,12.0,Daniel Munoz,DMR,True,8.229851684083265,0.0,33.322177803329694,D. Munoz,1.0,Crystal Palace
8,9,8.5,0.0,14.5,162,73.185,6.256,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,322670.0,81.06,8.228,,,,,,9.0,,,,,0.24166666666666667,,,,8.0,0.0,9.0,0.0,0.02122129,0.02756312,0.00634183,Crystal Palace,Brighton,7.0,Ismaila Sarr,AMC,True,0.0,7.037285033275637,14.05849624924276,I. Sarr,1.0,Crystal Palace
9,10,9.0,0.0,16.0,162,81.06,8.228,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.92'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '86.6'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,322670.0,90.92999999999999,4.488,,,,,,,,,,,0.26666666666666666,,,,9.0,0.0,10.0,0.0,0.02756312,0.03485072,0.007287600000000002,Crystal Palace,Brighton,7.0,Ismaila Sarr,AMC,True,2.4811652133248145,0.0,-20.75300265678621,I. Sarr,1.0,Crystal Palace
