level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,189,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brentford,Chelsea,,nan,,,0.0,0.0,,nan,1.0,Brentford
1,2,3.0,0.0,0.0,15,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Chelsea,Brentford,,nan,,,0.0,0.0,,nan,1.0,Brentford
2,3,4.0,0.0,0.0,189,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.15'}]","[91, 117, 30, 35, 38, 215, 218]",True,401168.0,23.835,33.728,,,,,,,,,,,0.0,,,,6.0,3.0,2.0,3.0,0.01689528,0.01016549,-0.006729789999999999,Brentford,Chelsea,24.0,Mikkel Damsgaard,MC,True,-28.66545576167239,0.0,-179.45634103215897,M. Damsgaard,1.0,Brentford
3,4,4.5,0.0,2.5,189,23.835,33.728,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,115131.0,25.935,28.220000000000002,,,,,,5.0,,,,,0.041666666666666664,,,,2.0,3.0,3.0,3.0,0.01016549,0.01132376,0.0011582700000000012,Brentford,Chelsea,1.0,Mark Flekken,GK,True,0.0,1.8894655439526247,-69.12997104509351,M. Flekken,1.0,Brentford
4,5,5.0,0.0,5.0,189,25.935,28.220000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.00'}]","[91, 117, 30, 36, 37, 216, 218]",True,115131.0,37.48500000000001,46.03600000000001,,,,,,,,,,,0.08333333333333333,,,,2.0,3.0,4.0,5.0,0.01016549,0.01269174,0.0025262500000000007,Brentford,Chelsea,1.0,Mark Flekken,GK,True,10.696543435174206,0.0,57.04491404471232,M. Flekken,1.0,Brentford
5,6,5.5,0.0,8.0,189,37.48500000000001,46.03600000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,372724.0,42.21000000000001,47.668,,,,,,6.0,,,,,0.13333333333333333,,,,4.0,5.0,4.0,5.0,0.01269174,0.01269174,0.0,Brentford,Chelsea,22.0,Nathan Collins,DC,True,0.0,4.319052105886442,19.05474993151093,N. Collins,1.0,Brentford
6,7,6.0,0.0,11.0,189,42.21000000000001,47.668,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.90'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,372724.0,27.195,33.32,,,,,,,,,,,0.18333333333333332,,,,4.0,5.0,3.0,3.0,0.01269174,0.01132376,-0.0013679799999999995,Brentford,Chelsea,22.0,Nathan Collins,DC,True,-13.547576797991226,0.0,-136.30128780273307,N. Collins,1.0,Brentford
7,8,7.0,0.0,14.0,189,27.51,32.368,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.15'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '43.7'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.1'}]","[91, 120, 128, 36, 38, 217, 218]",True,115131.0,70.875,26.588000000000005,,,,,,,,,,,0.23333333333333334,,,,,,,,,,,Brentford,Chelsea,1.0,Mark Flekken,GK,True,42.58651117643453,0.0,-7.592047020385962,M. Flekken,1.0,Brentford
8,9,4.0,0.0,18.0,15,32.025,44.064,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[197, 200]",False,421351.0,,,,,,,,,,,,,0.3,,,,,,,,,,,Chelsea,Brentford,6.0,Levi Colwill,DC,True,0.0,0.0,,L. Colwill,1.0,Brentford
9,10,8.0,0.0,18.0,189,72.97500000000001,23.936000000000003,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[198, 199]",False,353377.0,,,,,,,,,,,,,0.3,,,,,,,,,,,Brentford,Chelsea,19.0,Bryan Mbeumo,FW,True,0.0,0.0,,B. Mbeumo,1.0,Brentford
10,11,5.0,0.0,18.0,15,28.56,48.348,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.95'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.3'}]","[91, 118, 120, 29, 139, 36, 38, 215, 218]",True,421351.0,33.6,46.580000000000005,,,,,,,,,,,0.3,,,,,,,,,,,Chelsea,Brentford,6.0,Levi Colwill,DC,True,5.27515508673342,0.0,-19.330546516050436,L. Colwill,1.0,Brentford
11,12,9.0,0.0,19.0,189,73.71000000000001,30.192,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 70]",True,401168.0,,,,,,,,,,,,,0.31666666666666665,,,,,,,,,,,Brentford,Chelsea,24.0,Mikkel Damsgaard,MC,True,0.0,0.0,,M. Damsgaard,1.0,Brentford
12,13,6.0,0.0,20.0,15,31.290000000000003,37.80800000000001,0.0,FirstHalf,Tackle,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 142]",True,369430.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,Chelsea,Brentford,8.0,Enzo Fernandez,DMC,True,0.0,0.0,,E. Fernandez,1.0,Brentford
13,14,10.0,0.0,22.0,189,65.52,39.57600000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.5'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.68'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '77.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 29, 139, 36, 38, 217, 218]",True,372724.0,81.06,28.900000000000002,,,,,,,,,,,0.36666666666666664,,,,,,,,,,,Brentford,Chelsea,22.0,Nathan Collins,DC,True,15.394616106581331,0.0,-34.48911533355314,N. Collins,1.0,Brentford
14,15,7.0,0.0,24.0,15,25.830000000000002,48.55200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '88.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.40'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 117, 30, 139, 36, 37, 215, 218]",True,421351.0,27.825000000000003,59.908,,,,,,,,,,,0.4,,,,2.0,5.0,3.0,7.0,0.01001304,0.00977659,-0.0002364500000000009,Chelsea,Brentford,6.0,Levi Colwill,DC,True,-0.9113768616632854,0.0,80.03606352989323,L. Colwill,1.0,Brentford
15,16,8.0,0.0,28.0,15,26.040000000000003,59.636,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '49.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.4'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.05'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.1'}]","[91, 118, 120, 128, 36, 38, 216, 218]",True,363496.0,52.395,53.312000000000005,,,,,,,,,,,0.4666666666666667,,,,,,,,,,,Chelsea,Brentford,3.0,Marc Cucurella,DL,True,26.97954557464074,0.0,-13.493266537804686,M. Cucurella,1.0,Brentford
16,17,340.0,0.0,30.0,189,54.495,22.372,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 101, 56]",True,342499.0,,,,,,,,,,,,,0.5,,,,,,,,,,,Brentford,Chelsea,5.0,Ethan Pinnock,DC,True,0.0,0.0,,E. Pinnock,1.0,Brentford
17,18,11.0,0.0,33.0,189,46.515,19.040000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.14'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.8'}]","[91, 117, 30, 35, 37, 216, 218]",True,342499.0,36.96000000000001,34.068000000000005,,,,,,,,,,,0.55,,,,5.0,2.0,4.0,4.0,0.01429128,0.01262646,-0.0016648199999999991,Brentford,Chelsea,5.0,Ethan Pinnock,DC,True,-7.672022376174546,0.0,122.44873719672961,E. Pinnock,1.0,Brentford
18,19,12.0,0.0,35.0,189,36.96000000000001,34.068000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '34.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.78'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 128, 36, 38, 216, 218]",True,372724.0,66.78,17.68,,,,,,,,,,,0.5833333333333334,,,,,,,,,,,Brentford,Chelsea,22.0,Nathan Collins,DC,True,26.481511388361497,0.0,-28.791613215235458,N. Collins,1.0,Brentford
19,20,10.0,0.0,36.0,15,41.055,58.684000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.19'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '61.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.7'}]","[91, 120, 29, 36, 37, 216, 218]",True,363496.0,64.05,63.03600000000001,,,,,,,,,,,0.6,,,,,,,,,,,Chelsea,Brentford,3.0,Marc Cucurella,DL,True,18.344355712566333,0.0,10.716958869312094,M. Cucurella,1.0,Brentford
20,21,13.0,0.0,39.0,189,43.575,4.0120000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '17.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.64'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.6'}]","[91, 117, 30, 35, 37, 215, 218]",True,329554.0,28.980000000000004,12.104000000000001,,,,,,,,,,,0.65,,,,4.0,0.0,3.0,1.0,0.01126267,0.0105949,-0.0006677699999999998,Brentford,Chelsea,30.0,Mads Roerslev,DMR,True,-10.75622209517654,0.0,150.99441651922353,M. Roerslev,1.0,Brentford
21,22,14.0,0.0,41.0,189,28.980000000000004,12.104000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.93'}]","[91, 117, 30, 36, 37, 215, 218]",True,351705.0,34.755,19.924000000000003,,,,,,,,,,,0.6833333333333333,,,,3.0,1.0,4.0,2.0,0.0105949,0.01269174,0.002096839999999999,Brentford,Chelsea,4.0,Sepp van den Berg,DC,True,7.469100143165363,0.0,53.55446411649681,S. v. den Berg,1.0,Brentford
22,23,15.0,0.0,43.0,189,34.755,19.924000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.27'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '28.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.7'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,101856.0,58.48500000000001,19.516000000000002,,,,,,,,,,,0.7166666666666667,,,,3.0,2.0,6.0,2.0,0.01110462,0.01685596,0.005751339999999999,Brentford,Chelsea,6.0,Christian Norgaard,MC,True,22.923548773503533,0.0,-0.9850136940372141,C. Norgaard,1.0,Brentford
23,24,16.0,0.0,44.0,189,58.48500000000001,19.516000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.47'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.6'}]","[91, 117, 30, 35, 37, 216, 218]",True,296240.0,44.730000000000004,30.464,,,,,,,,,,,0.7333333333333333,,,,6.0,2.0,5.0,3.0,0.01685596,0.01484598,-0.0020099799999999998,Brentford,Chelsea,11.0,Yoane Wissa,FW,True,-11.655761853031393,0.0,141.48270940363466,Y. Wissa,1.0,Brentford
24,25,17.0,0.0,46.0,189,45.57,31.892000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '33.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.09'}]","[91, 119, 117, 127, 36, 37, 216, 218]",True,101856.0,60.900000000000006,61.608000000000004,,,,,,,,,,,0.7666666666666666,,,,5.0,3.0,7.0,7.0,0.01484598,0.0174506,0.00260462,Brentford,Chelsea,6.0,Christian Norgaard,MC,True,7.438423696843309,0.0,62.71152861372312,C. Norgaard,1.0,Brentford
25,26,17.5,0.0,49.5,189,60.900000000000006,61.608000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,368512.0,67.30499999999999,59.160000000000004,,,,,,18.0,,,,,0.825,,,,7.0,7.0,7.0,6.0,0.0174506,0.01870347,0.0012528699999999997,Brentford,Chelsea,23.0,Keane Lewis-Potter,DML,True,0.0,6.708550592650404,-20.916926399708927,K. Lewis-Potter,1.0,Brentford
26,27,18.0,0.0,53.0,189,67.30499999999999,59.160000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '40.7'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.48'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 137, 124, 126, 36, 38, 217, 218]",True,368512.0,95.44500000000001,29.716000000000005,,,,,,,,,,,0.8833333333333333,,,,,,,,,,,Brentford,Chelsea,23.0,Keane Lewis-Potter,DML,True,34.84897754650226,0.0,-46.29725148042423,K. Lewis-Potter,1.0,Brentford
27,28,11.0,0.0,56.0,15,9.870000000000001,38.148,0.0,FirstHalf,Claim,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 88, 'displayName': 'HighClaim'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '18'}]","[91, 93, 104]",True,362151.0,,,,,,,,,,,,,0.9333333333333333,,,,,,,,,,,Chelsea,Brentford,1.0,Robert Sanchez,GK,True,0.0,0.0,,R. Sanchez,2.0,Chelsea
28,29,13.0,0.0,57.0,15,12.915000000000001,42.228,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 123, 'displayName': 'KeeperThrow'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '88.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.60'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '31.4'}]","[91, 36, 37, 216, 218]",True,362151.0,38.745,60.044000000000004,,,,,,,,,,,0.95,,,,1.0,4.0,4.0,7.0,0.01082722,0.01126267,0.0004354500000000004,Chelsea,Brentford,1.0,Robert Sanchez,GK,True,21.261872280544054,0.0,34.59560600527539,R. Sanchez,2.0,Chelsea
