id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam
2759780101,Miss,8455,1197347,Nicolas Jackson,96.89473684,33.46625,3,,FALSE,FALSE,,,40.21738095,1.964842096,0.192008361,0,Header,RegularPlay,FirstHalf,FALSE,"{'x': 1.1102230246251565e-16, 'y': 0.31602407998691584, 'zoomRatio': 0.6079730401876178}",FALSE,TRUE,,Nicolas,Jackson,Nicolas Jackson,#064b95,4506446,Chelsea,Brentford
2759787585,AttemptSaved,8455,1197347,Nicolas Jackson,99.11403509,45.96254777,11,,FALSE,TRUE,103.6724138,37.58375,35.0675,1.341999993,0.02328084,0.069400795,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.7175925925925919, 'y': 0.35502645328042326, 'zoomRatio': 1}",FALSE,TRUE,330643,Nicolas,Jackson,Nicolas Jackson,#064b95,4506446,Chelsea,Brentford
2759789823,AttemptSaved,8455,1096353,Cole Palmer,97.76315789,46.03261146,13,,TRUE,TRUE,99.11403509,44.00076433,35.525,1.219999994,0.035057385,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.5965608465608451, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Cole,Palmer,Cole Palmer,#064b95,4506446,Chelsea,Brentford
2759790607,Miss,8455,1197250,Malo Gusto,77.52961165,26.343125,14,,FALSE,FALSE,91.1,26.4009375,26.94214286,0.802631575,0.027254255,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 2, 'y': 0.11372170883283632, 'zoomRatio': 0.5355733225273642}",FALSE,FALSE,,Malo,Gusto,Malo Gusto,#064b95,4506446,Chelsea,Brentford
2759790643,AttemptSaved,8455,1096353,Cole Palmer,88.6,37.744,14,,FALSE,TRUE,103.5775862,34.68625,33.00875,1.95199999,0.104278669,0.22770153,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.26223544973545, 'y': 0.5164021138624338, 'zoomRatio': 1}",FALSE,TRUE,330643,Cole,Palmer,Cole Palmer,#064b95,4506446,Chelsea,Brentford
2759791097,Miss,8455,1084981,Noni Madueke,95.92982456,24.13936306,14,,FALSE,FALSE,102.25,48.34471337,56.65251184,5.549241389,0.054085642,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0, 'y': 0.2449724528378636, 'zoomRatio': 0.16686891177523042}",FALSE,TRUE,,Noni,Madueke,Noni Madueke,#064b95,4506446,Chelsea,Brentford
2759796339,AttemptSaved,8455,1137705,Enzo Fernandez,101.7758621,22.59796179,20,,FALSE,TRUE,104.3362069,30.328,33.92375,0.083473684,0.02742053,0.061131548,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.0201719576719581, 'y': 0.02208298513227513, 'zoomRatio': 1}",FALSE,TRUE,330643,Enzo,Fernández,Enzo Fernández,#064b95,4506446,Chelsea,Brentford
2759802661,AttemptSaved,8455,1197347,Nicolas Jackson,95.7368421,42.2928125,27,,TRUE,TRUE,96.89473684,41.5990625,35.29625,1.219999994,0.071692571,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.6570767195767175, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Nicolas,Jackson,Nicolas Jackson,#064b95,4506446,Chelsea,Brentford
2759803183,Miss,8455,1084981,Noni Madueke,97.66666667,27.95071429,28,,FALSE,FALSE,,,25.418125,0.802631575,0.050614092,0,Header,FromCorner,FirstHalf,FALSE,"{'x': 2, 'y': 0.09352636515912903, 'zoomRatio': 0.440463185492681}",FALSE,TRUE,,Noni,Madueke,Noni Madueke,#064b95,4506446,Chelsea,Brentford
2759803945,AttemptSaved,9937,888912,Mikkel Damsgaard,95.06140351,30.34,29,,TRUE,TRUE,96.89473684,30.7975,33.085,1.219999994,0.14599438,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.2420634920634936, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Mikkel,Damsgaard,Mikkel Damsgaard,#C00808,4506446,Brentford,Chelsea
2759806387,AttemptSaved,8455,683402,Tosin Adarabioyo,98.72807018,37.78,32,,TRUE,TRUE,100.1637931,37.696,35.83,1.219999994,0.084105186,0,Header,FromCorner,FirstHalf,FALSE,"{'x': 0.5158730158730164, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Tosin,Adarabioyo,Tosin Adarabioyo,#064b95,4506446,Chelsea,Brentford
2759806411,Miss,8455,846381,Jadon Sancho,101.3017241,44.2810191,32,,FALSE,FALSE,,,38.2002381,1.874947359,0.025428183,0,RightFoot,FromCorner,FirstHalf,FALSE,"{'x': 0, 'y': 0.44639073212044195, 'zoomRatio': 0.8999489821064788}",FALSE,TRUE,,Jadon,Sancho,Jadon Sancho,#064b95,4506446,Chelsea,Brentford
2759811013,AttemptSaved,8455,1084981,Noni Madueke,97.95614035,21.82726115,39,,FALSE,TRUE,101.4913793,26.77404762,36.135,0.282526314,0.154681832,0.491175979,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.4351851851851839, 'y': 0.07474241121693122, 'zoomRatio': 1}",FALSE,TRUE,330643,Noni,Madueke,Noni Madueke,#064b95,4506446,Chelsea,Brentford
2759813967,Goal,8455,873289,Marc Cucurella,97.95614035,36.44,43,,FALSE,TRUE,,,35.44875,0.449473682,0.115122147,0.346113682,Header,RegularPlay,FirstHalf,FALSE,"{'x': 0.6167328042328032, 'y': 0.11890838148148149, 'zoomRatio': 1}",FALSE,TRUE,330643,Marc,Cucurella,Marc Cucurella,#064b95,4506446,Chelsea,Brentford
2759815121,AttemptSaved,8455,1096353,Cole Palmer,79.55679612,36.745,45,0,TRUE,TRUE,83.61116505,36.36375,33.92375,1.219999994,0.026276466,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.0201719576719581, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,FALSE,,Cole,Palmer,Cole Palmer,#064b95,4506446,Chelsea,Brentford
2759815199,Miss,8455,1197347,Nicolas Jackson,89.1,30.34,45,0,FALSE,FALSE,,,25.2446875,1.425473677,0.034696404,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 2, 'y': 0.1628124269921833, 'zoomRatio': 0.43173787343398645}",FALSE,TRUE,,Nicolas,Jackson,Nicolas Jackson,#064b95,4506446,Chelsea,Brentford
2759826899,Miss,8455,1084981,Noni Madueke,88.9,23.7189809,48,,FALSE,FALSE,95.25438596,30.292,41.7725,0.179789473,0.035108566,0,RightFoot,FromCorner,SecondHalf,FALSE,"{'x': 0, 'y': 0.023131485725313622, 'zoomRatio': 0.48633000964940537}",FALSE,TRUE,,Noni,Madueke,Noni Madueke,#064b95,4506446,Chelsea,Brentford
2759834029,AttemptSaved,8455,1137705,Enzo Fernandez,88.8,35.14375,59,,TRUE,TRUE,99.30701754,35.90625,36.36375,1.219999994,0.081124723,0,LeftFoot,FastBreak,SecondHalf,FALSE,"{'x': 0.37466931216931143, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Enzo,Fernández,Enzo Fernández,#064b95,4506446,Chelsea,Brentford
2759834683,Miss,8455,1197347,Nicolas Jackson,99.01754386,30.268,60,,FALSE,FALSE,,,37.43125,5.18427587,0.732512295,0,LeftFoot,RegularPlay,SecondHalf,FALSE,"{'x': 0.5517581274797727, 'y': 0.6772486772486772, 'zoomRatio': 0.4938008825140857}",FALSE,TRUE,,Nicolas,Jackson,Nicolas Jackson,#064b95,4506446,Chelsea,Brentford
2759837037,AttemptSaved,9937,688273,Vitaly Janelt,96.50877193,36.51625,63,,TRUE,TRUE,98.63157895,35.75375,33.61875,1.219999994,0.081569813,0,Header,RegularPlay,SecondHalf,FALSE,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Vitaly,Janelt,Vitaly Janelt,#C00808,4506446,Brentford,Chelsea
2759838495,AttemptSaved,8455,1084981,Noni Madueke,77.52961165,30.316,66,,FALSE,TRUE,103.6724138,33.8475,34.7625,0.160526315,0.029798072,0.016704312,LeftFoot,FastBreak,SecondHalf,FALSE,"{'x': 0.7982804232804226, 'y': 0.042467279100529096, 'zoomRatio': 1}",FALSE,FALSE,330643,Noni,Madueke,Noni Madueke,#064b95,4506446,Chelsea,Brentford
2759840135,AttemptSaved,8455,1084981,Noni Madueke,98.63157895,23.43872612,68,,TRUE,TRUE,100.5431034,25.765,31.94125,1.219999994,0.104456022,0,LeftFoot,RegularPlay,SecondHalf,FALSE,"{'x': 1.544642857142858, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Noni,Madueke,Noni Madueke,#064b95,4506446,Chelsea,Brentford
2759842915,Miss,9937,266520,Christian Norgaard,96.89473684,43.44025477,73,,FALSE,FALSE,99.78448276,36.36375,22.3877707,0.892526311,0.078960955,0,LeftFoot,FromCorner,SecondHalf,FALSE,"{'x': 2, 'y': 0.07686089283076422, 'zoomRatio': 0.3255188908039723}",FALSE,TRUE,,Christian,Nørgaard,Christian Nørgaard,#C00808,4506446,Brentford,Chelsea
