level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,162,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Crystal Palace,Arsenal,,nan,,,0.0,0.0,,nan,1.0,Arsenal
1,2,3.0,0.0,0.0,13,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Arsenal,Crystal Palace,,nan,,,0.0,0.0,,nan,1.0,Arsenal
2,3,4.0,0.0,0.0,13,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.03'}]","[91, 117, 30, 35, 37, 215, 218]",True,247454.0,25.41,36.924,,,,,,,,,,,0.0,,,,5.0,3.0,2.0,4.0,0.01484598,0.01016549,-0.004680490000000001,Arsenal,Crystal Palace,8.0,Martin Odegaard,MC,True,-27.143693259416338,0.0,173.8395434664094,M. Odegaard,1.0,Arsenal
3,4,5.0,0.0,3.0,13,27.3,36.516000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.16'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '49.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.1'}]","[91, 120, 128, 36, 37, 217, 218]",True,276366.0,75.81,44.268,,,,,,,,,,,0.05,,,,,,,,,,,Arsenal,Crystal Palace,22.0,David Raya,GK,True,46.79742280263645,0.0,9.079220922056907,D. Raya,1.0,Arsenal
4,5,4.0,0.0,7.0,162,29.294999999999998,22.576000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.22'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,322670.0,38.43,21.964,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Crystal Palace,Arsenal,7.0,Ismaila Sarr,AMC,True,8.912779899677787,0.0,-3.8328075150827607,I. Sarr,1.0,Arsenal
5,6,6.0,0.0,8.0,13,68.46000000000001,43.452000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.55'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.1'}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,238940.0,68.775,57.188,,,,,,,,,,,0.13333333333333333,,,,7.0,5.0,7.0,6.0,0.01935132,0.01870347,-0.0006478500000000019,Arsenal,Crystal Palace,5.0,Thomas Partey,MC,True,-5.268152100377634,0.0,88.68629821495355,T. Partey,1.0,Arsenal
6,7,7.0,0.0,11.0,13,68.775,57.188,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.62'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.6'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,467918.0,76.23,62.56,,,,,,,,,,,0.18333333333333332,,,,7.0,6.0,8.0,7.0,0.01870347,0.02122129,0.0025178200000000005,Arsenal,Crystal Palace,49.0,Myles Lewis-Skelly,DL,True,2.472155004921177,0.0,35.776152111766535,M. Lewis-Skelly,1.0,Arsenal
7,8,8.0,0.0,11.0,13,76.23,62.56,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.26'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '91.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 29, 36, 38, 217, 218]",True,326413.0,95.76,62.15200000000001,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Arsenal,Crystal Palace,29.0,Kai Havertz,MC,True,10.90911203386857,0.0,-1.1967884362849575,K. Havertz,1.0,Arsenal
8,9,5.0,0.0,14.0,162,6.615,9.044,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,395401.0,6.615,9.044,,,,,,,,,,,0.23333333333333334,,,,,,,,,,,Crystal Palace,Arsenal,26.0,Chris Richards,DC,True,0.0,0.0,0.0,C. Richards,2.0,Crystal Palace
9,10,5.5,0.0,15.5,162,6.615,9.044,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,395401.0,2.52,2.652,,,,,,6.0,,,,,0.2583333333333333,,,,0.0,1.0,0.0,0.0,0.00750072,0.00638303,-0.0011176900000000002,Crystal Palace,Arsenal,26.0,Chris Richards,DC,True,0.0,-5.666591816143139,-122.6454345538787,C. Richards,2.0,Crystal Palace
