level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,15,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Chelsea,Everton,,nan,,,0.0,0.0,,nan,1.0,Everton
1,2,3.0,0.0,0.0,31,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Everton,Chelsea,,nan,,,0.0,0.0,,nan,1.0,Everton
2,3,4.0,0.0,0.0,31,52.605000000000004,34.136,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.02'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '55.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,80464.0,25.830000000000002,37.536,,,,,,,,,,,0.0,,,,6.0,4.0,2.0,4.0,0.01689528,0.01016549,-0.006729789999999999,Everton,Chelsea,27.0,Idrissa Gueye,MC,True,-26.853749014435486,0.0,172.76307797403203,I. Gueye,1.0,Everton
3,4,5.0,0.0,3.0,31,27.090000000000003,37.400000000000006,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.99'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '54.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 128, 36, 38, 217, 218]",True,110189.0,79.17000000000002,21.42,,,,,,,,,,,0.05,,,,,,,,,,,Everton,Chelsea,1.0,Jordan Pickford,GK,True,49.253589012378185,0.0,-17.057879658252453,J. Pickford,1.0,Everton
4,5,4.0,0.0,6.0,15,24.255000000000003,51.00000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.19'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.0'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.2'}]","[91, 117, 30, 139, 36, 37, 216, 218]",True,136464.0,35.7,53.17600000000001,,,,,,,,,,,0.1,,,,2.0,5.0,4.0,6.0,0.01001304,0.01214719,0.0021341499999999996,Chelsea,Everton,4.0,Tosin Adarabioyo,DC,True,10.611015352927623,0.0,10.76497297448295,T. Adarabioyo,2.0,Chelsea
5,6,5.0,0.0,8.0,15,34.125,54.944,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,346300.0,34.125,54.944,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Chelsea,Everton,19.0,Jadon Sancho,AML,True,0.0,0.0,0.0,J. Sancho,2.0,Chelsea
6,7,6.0,0.0,8.0,15,34.125,54.944,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '3.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.25'}]","[91, 117, 30, 35, 38, 215, 218]",True,346300.0,30.450000000000003,54.53600000000001,,,,,,,,,,,0.13333333333333333,,,,3.0,6.0,3.0,6.0,0.0105949,0.0105949,0.0,Chelsea,Everton,19.0,Jadon Sancho,AML,True,-3.421991108591442,0.0,-173.6649418245014,J. Sancho,2.0,Chelsea
7,8,7.0,0.0,10.0,15,30.450000000000003,54.53600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.48'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.0'}]","[91, 117, 30, 35, 37, 215, 218]",True,369430.0,25.200000000000003,58.61600000000001,,,,,,,,,,,0.16666666666666666,,,,3.0,6.0,2.0,6.0,0.0105949,0.00942382,-0.0011710800000000014,Chelsea,Everton,8.0,Enzo Fernandez,DMC,True,-6.183630452025966,0.0,142.14768978638588,E. Fernandez,2.0,Chelsea
8,9,8.0,0.0,11.0,15,25.095,58.684000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '38.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.01'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 120, 124, 128, 36, 37, 216, 218]",True,421351.0,63.21000000000001,59.024,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Chelsea,Everton,6.0,Levi Colwill,DC,True,34.92139905440041,0.0,0.5110861432457897,L. Colwill,2.0,Chelsea
9,10,6.0,0.0,15.0,31,39.69,13.804000000000002,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,131464.0,39.69,13.804000000000002,,,,,,,,,,,0.25,,,,,,,,,,,Everton,Chelsea,6.0,James Tarkowski,DC,True,0.0,0.0,0.0,J. Tarkowski,3.0,Everton
10,11,7.0,0.0,15.0,31,38.22,13.804000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.61'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '11.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,131464.0,12.285,29.036000000000005,,,,,,,,,,,0.25,,,,4.0,1.0,1.0,3.0,0.01214719,0.01082722,-0.0013199700000000002,Everton,Chelsea,6.0,James Tarkowski,DC,True,-23.080702447350134,0.0,149.57366865883841,J. Tarkowski,3.0,Everton
11,12,7.5,0.0,17.5,31,12.285,29.036000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,110189.0,9.135,33.252,,,,,,8.0,,,,,0.29166666666666663,,,,1.0,3.0,1.0,3.0,0.01082722,0.01082722,0.0,Everton,Chelsea,1.0,Jordan Pickford,GK,True,0.0,-3.020125917925256,126.76538315294019,J. Pickford,3.0,Everton
12,13,8.0,0.0,20.0,31,9.135,33.252,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '18.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.93'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.6'}]","[91, 117, 30, 36, 37, 215, 218]",True,110189.0,19.005000000000003,46.580000000000005,,,,,,,,,,,0.3333333333333333,,,,0.0,3.0,2.0,5.0,0.00941056,0.01001304,0.0006024800000000007,Everton,Chelsea,1.0,Jordan Pickford,GK,True,8.957640125574855,0.0,53.47834187188677,J. Pickford,3.0,Everton
13,14,8.5,0.0,22.0,31,19.005000000000003,46.580000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,381045.0,22.680000000000003,54.128,,,,,,9.0,,,,,0.3666666666666667,,,,2.0,5.0,2.0,6.0,0.01001304,0.00942382,-0.0005892200000000014,Everton,Chelsea,32.0,Jarrad Branthwaite,DC,True,0.0,2.1652558387479814,64.03929295075802,J. Branthwaite,3.0,Everton
14,15,9.0,0.0,24.0,31,22.680000000000003,54.128,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.05'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '52.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}]","[91, 120, 124, 128, 36, 37, 217, 218]",True,381045.0,74.655,56.78,,,,,,,,,,,0.4,,,,,,,,,,,Everton,Chelsea,32.0,Jarrad Branthwaite,DC,True,46.80101837005317,0.0,2.9209571301908133,J. Branthwaite,3.0,Everton
15,16,9.0,0.0,26.0,15,29.085,11.56,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.00'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.5'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '17.0'}]","[91, 117, 30, 139, 36, 216, 218]",True,136464.0,35.175000000000004,11.56,,,,,,,,,,,0.43333333333333335,,,,3.0,1.0,4.0,1.0,0.0105949,0.01214719,0.0015522899999999996,Chelsea,Everton,4.0,Tosin Adarabioyo,DC,True,5.819876973409606,0.0,0.0,T. Adarabioyo,4.0,Chelsea
16,17,10.0,0.0,27.0,15,35.175000000000004,11.56,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,410175.0,35.175000000000004,11.56,,,,,,,,,,,0.45,,,,,,,,,,,Chelsea,Everton,25.0,Moises Caicedo,DMC,True,0.0,0.0,0.0,M. Caicedo,4.0,Chelsea
17,18,11.0,0.0,28.0,15,35.175000000000004,11.56,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.16'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '15.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '16.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 215, 218]",True,410175.0,15.959999999999999,11.22,,,,,,,,,,,0.4666666666666667,,,,4.0,1.0,1.0,1.0,0.01214719,0.00878589,-0.003361300000000001,Chelsea,Everton,25.0,Moises Caicedo,DMC,True,-18.56559388179653,0.0,-178.9862850729744,M. Caicedo,4.0,Chelsea
18,19,11.5,0.0,30.5,15,15.959999999999999,11.22,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,136464.0,21.735,16.048000000000002,,,,,,12.0,,,,,0.5083333333333333,,,,1.0,1.0,2.0,1.0,0.00878589,0.00942382,0.0006379300000000001,Chelsea,Everton,4.0,Tosin Adarabioyo,DC,True,0.0,6.729582766538087,39.89620730675771,T. Adarabioyo,4.0,Chelsea
