level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,18,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Southampton,Fulham,,nan,,,0.0,0.0,,nan,1.0,Southampton
1,2,3.0,0.0,0.0,170,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Fulham,Southampton,,nan,,,0.0,0.0,,nan,1.0,Southampton
2,3,4.0,0.0,0.0,18,52.71000000000001,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.21'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 215, 218]",True,438067.0,29.085,32.368,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Southampton,Fulham,33.0,Tyler Dibling,FW,True,-23.642540119503437,0.0,-176.04832169920812,T. Dibling,1.0,Southampton
3,4,5.0,0.0,3.0,18,29.085,32.368,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '52.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.31'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 128, 36, 37, 217, 218]",True,316858.0,79.275,48.348,,,,,,,,,,,0.05,,,,,,,,,,,Southampton,Fulham,30.0,Aaron Ramsdale,GK,True,46.476798251405796,0.0,17.660961058464103,A. Ramsdale,1.0,Southampton
4,5,4.0,0.0,6.0,170,28.980000000000004,21.352,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.56'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.9'}]","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,300359.0,37.065,26.452,,,,,,,,,,,0.1,,,,,,,,,,,Fulham,Southampton,31.0,Issa Diop,DC,True,8.711958861826048,0.0,32.243637737632895,I. Diop,1.0,Southampton
5,6,6.0,0.0,7.0,18,65.52,44.268,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '39.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.37'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '97.7'}]","[91, 120, 128, 36, 37, 217, 218]",True,337428.0,102.58500000000001,58.480000000000004,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Southampton,Fulham,4.0,Flynn Downes,MC,True,16.19457526166536,0.0,20.978547393271693,F. Downes,1.0,Southampton
6,7,5.0,0.0,11.0,170,4.095,7.48,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '41.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.36'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.1'}]","[91, 118, 120, 128, 36, 37, 216, 218]",True,141169.0,42.73500000000001,21.828000000000003,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Fulham,Southampton,21.0,Timothy Castagne,DR,True,40.88824391422214,0.0,20.371222864747217,T. Castagne,1.0,Southampton
7,8,7.0,0.0,14.0,18,58.48500000000001,46.92,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.36'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '66.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '49.4'}]","[91, 117, 30, 139, 35, 38, 216, 218]",True,136742.0,51.87,45.424,,,,,,,,,,,0.23333333333333334,,,,6.0,5.0,6.0,5.0,0.01685596,0.01685596,0.0,Southampton,Fulham,35.0,Jan Bednarek,DC,True,-6.068321656094206,0.0,-167.2567705240067,J. Bednarek,1.0,Southampton
8,9,8.0,0.0,16.0,18,51.87,45.424,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.66'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.6'}]","[91, 117, 30, 35, 38, 216, 218]",True,337428.0,39.165,38.148,,,,,,,,,,,0.26666666666666666,,,,6.0,5.0,4.0,4.0,0.01685596,0.01262646,-0.004229499999999999,Southampton,Fulham,4.0,Flynn Downes,MC,True,-11.62122906472058,0.0,-150.2007542524974,F. Downes,1.0,Southampton
9,10,9.0,0.0,18.0,18,39.165,38.148,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '22.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.38'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,384061.0,31.185000000000002,15.368000000000002,,,,,,,,,,,0.3,,,,4.0,4.0,3.0,1.0,0.01262646,0.0105949,-0.00203156,Southampton,Fulham,6.0,Taylor Harwood-Bellis,DC,True,-10.164643800905367,0.0,-109.30572957454692,T. Harwood-Bellis,1.0,Southampton
