level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,165,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Ipswich,Newcastle,,nan,,,0.0,0.0,,nan,1.0,Ipswich
1,2,3.0,0.0,0.0,23,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Newcastle,Ipswich,,nan,,,0.0,0.0,,nan,1.0,Ipswich
2,3,4.0,0.0,0.0,165,52.29,34.544000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.16'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 216, 218]",True,138686.0,49.875,30.668000000000003,,,,,,,,,,,0.0,,,,5.0,4.0,5.0,3.0,0.01484598,0.01484598,0.0,Ipswich,Newcastle,23.0,Sam Szmodics,AML,True,-2.5128014995290684,0.0,-121.92558968051391,S. Szmodics,1.0,Ipswich
3,4,5.0,0.0,1.0,165,49.875,30.668000000000003,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '38.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.30'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 120, 128, 36, 38, 217, 218]",True,256129.0,71.19,0.0,,,,,,,,,,,0.016666666666666666,,,,,,,,,,,Ipswich,Newcastle,10.0,Conor Chaplin,FW,True,7.2765095809802744,0.0,-55.199767276321275,C. Chaplin,1.0,Ipswich
4,5,5.0,0.0,8.0,23,28.35,68.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.92'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '14.8'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}]","[91, 212, 35, 38, 215]",True,430294.0,15.540000000000001,56.236000000000004,,,,,,,,,,,0.13333333333333333,,,,3.0,7.0,1.0,6.0,0.00977659,0.00878589,-0.0009907000000000006,Newcastle,Ipswich,20.0,Lewis Hall,DL,True,-8.329669995681243,0.0,-137.43734149865588,L. Hall,2.0,Newcastle
5,6,5.5,0.0,9.5,23,15.540000000000001,56.236000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,82277.0,14.490000000000002,51.68000000000001,,,,,,6.0,,,,,0.15833333333333333,,,,1.0,6.0,1.0,6.0,0.00878589,0.00878589,0.0,Newcastle,Ipswich,33.0,Dan Burn,DC,True,0.0,-0.03856345384494375,-102.97808333456601,D. Burn,2.0,Newcastle
6,7,6.0,0.0,11.0,23,14.490000000000002,51.68000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.69'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '13.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,82277.0,13.965000000000002,23.46,,,,,,,,,,,0.18333333333333332,,,,1.0,6.0,1.0,2.0,0.00878589,0.00977745,0.0009915600000000007,Newcastle,Ipswich,33.0,Dan Burn,DC,True,0.5774910889957425,0.0,-91.06579782703146,D. Burn,2.0,Newcastle
7,8,6.5,0.0,13.0,23,13.965000000000002,23.46,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,82726.0,22.785,15.436,,,,,,12.0,,,,,0.21666666666666667,,,,1.0,2.0,2.0,1.0,0.00977745,0.00942382,-0.0003536300000000006,Newcastle,Ipswich,5.0,Fabian Schar,DC,True,0.0,7.358322733394445,-42.294375735922806,F. Schar,2.0,Newcastle
8,9,12.0,0.0,15.0,23,22.785,15.436,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '69.3'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.17'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '87.3'}]","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,82726.0,91.665,7.684000000000001,,,,,,,,,,,0.25,,,,2.0,1.0,10.0,0.0,0.00942382,0.03485072,0.025426900000000002,Newcastle,Ipswich,5.0,Fabian Schar,DC,True,54.7830407728962,0.0,-6.421250990647191,F. Schar,2.0,Newcastle
9,10,14.0,0.0,23.0,23,93.97500000000001,6.0520000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.54'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '40.3'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 137, 126, 36, 37, 217, 218]",True,141486.0,94.605,27.404,,,,,,,,,,,0.3833333333333333,,,,,,,,,,,Newcastle,Ipswich,23.0,Jacob Murphy,FWR,True,17.732887551079003,0.0,88.30995355201871,J. Murphy,2.0,Newcastle
