level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,161,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Wolves,Leicester,,nan,,,0.0,0.0,,nan,1.0,Wolves
1,2,3.0,0.0,0.0,14,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Leicester,Wolves,,nan,,,0.0,0.0,,nan,1.0,Wolves
2,3,4.0,0.0,0.0,161,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.24'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 215, 218]",True,247995.0,26.040000000000003,31.484,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Wolves,Leicester,29.0,Goncalo Guedes,AMC,True,-26.50007503793904,0.0,-174.56825172878257,G. Guedes,1.0,Wolves
3,4,4.5,0.0,1.5,161,26.040000000000003,31.484,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,122714.0,30.03,27.200000000000003,,,,,,5.0,,,,,0.025,,,,2.0,3.0,3.0,3.0,0.01016549,0.01132376,0.0011582700000000012,Wolves,Leicester,1.0,Jose Sa,GK,True,0.0,3.722316702558203,-47.035034456859904,J. Sa,1.0,Wolves
4,5,5.0,0.0,3.0,161,30.03,27.200000000000003,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '70.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.33'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '73.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '92.1'}]","[91, 120, 128, 36, 37, 217, 218]",True,122714.0,96.705,49.980000000000004,,,,,,,,,,,0.05,,,,,,,,,,,Wolves,Leicester,1.0,Jose Sa,GK,True,57.27310824158562,0.0,18.863106616275253,J. Sa,1.0,Wolves
5,6,4.0,0.0,9.0,14,12.705,17.136,0.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.38'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '6.2'}]","[91, 94, 95, 215]",True,301441.0,6.510000000000001,0.0,,,,,,,,,,,0.15,,,,,,,,,,,Leicester,Wolves,2.0,James Justin,DR,True,0.0,0.0,-109.87591682706807,J. Justin,1.0,Wolves
6,7,7.0,0.0,20.0,161,94.605,68.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.43'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.9'}]","[91, 212, 35, 38, 217]",True,402823.0,76.44,63.85200000000001,,,,,,,,,,,0.3333333333333333,,,,10.0,7.0,8.0,7.0,0.03485072,0.02122129,-0.013629430000000001,Wolves,Leicester,19.0,Rodrigo Gomes,DML,True,-5.760058135724655,0.0,-167.1369893232589,R. Gomes,1.0,Wolves
7,8,8.0,0.0,22.0,161,76.44,63.85200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.16'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.5'}]","[91, 119, 117, 30, 35, 38, 216, 218]",True,362758.0,59.325,63.580000000000005,,,,,,,,,,,0.36666666666666664,,,,8.0,7.0,6.0,7.0,0.02122129,0.01473596,-0.006485330000000001,Wolves,Leicester,10.0,Matheus Cunha,AMC,True,-13.103120267086673,0.0,-179.0895039342926,M. Cunha,1.0,Wolves
8,9,9.0,0.0,24.0,161,59.325,63.580000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.75'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 216, 218]",True,431283.0,45.36000000000001,53.924,,,,,,,,,,,0.4,,,,6.0,7.0,5.0,6.0,0.01473596,0.0138454,-0.0008905599999999986,Wolves,Leicester,24.0,Toti Gomes,DC,True,-8.463263784350048,0.0,-145.338355389857,T. Gomes,1.0,Wolves
9,10,9.5,0.0,25.0,161,45.36000000000001,53.924,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,444241.0,43.995,50.79600000000001,,,,,,10.0,,,,,0.4166666666666667,,,,5.0,6.0,5.0,6.0,0.0138454,0.0138454,0.0,Wolves,Leicester,4.0,Santiago Bueno,DC,True,0.0,-0.39491334541916245,-113.57554549555795,S. Bueno,1.0,Wolves
