level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,170,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Fulham,Liverpool,,nan,,,0.0,0.0,,nan,1.0,Fulham
1,2,3.0,0.0,0.0,26,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Liverpool,Fulham,,nan,,,0.0,0.0,,nan,1.0,Fulham
2,3,4.0,0.0,0.0,170,52.395,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.17'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,243254.0,33.075,33.32,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Fulham,Liverpool,18.0,Andreas Pereira,AMC,True,-19.323170437503116,0.0,-178.1856472232324,A. Pereira,1.0,Fulham
3,4,5.0,0.0,2.0,170,32.76,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.67'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.8'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '45.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 124, 127, 36, 37, 216, 218]",True,300359.0,68.565,62.424,,,,,,,,,,,0.03333333333333333,,,,3.0,4.0,7.0,7.0,0.01132376,0.0174506,0.00612684,Fulham,Liverpool,31.0,Issa Diop,DC,True,26.029542524856517,0.0,38.24369713230077,I. Diop,1.0,Fulham
4,5,5.5,0.0,4.5,170,68.565,62.424,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,136824.0,70.03500000000001,65.212,,,,,,6.0,,,,,0.075,,,,7.0,7.0,8.0,7.0,0.0174506,0.02122129,0.00377069,Fulham,Liverpool,17.0,Alex Iwobi,AMR,True,0.0,-0.6586492864355549,62.199125960378105,A. Iwobi,1.0,Fulham
5,6,6.0,0.0,7.0,170,70.03500000000001,65.212,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '88.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.41'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.3'}]","[91, 119, 117, 30, 124, 35, 38, 216, 218]",True,136824.0,68.46000000000001,60.11200000000001,,,,,,,,,,,0.11666666666666667,,,,8.0,7.0,7.0,7.0,0.02122129,0.0174506,-0.00377069,Fulham,Liverpool,17.0,Alex Iwobi,AMR,True,1.9582809870284663,0.0,-107.16191880286534,A. Iwobi,1.0,Fulham
6,7,7.0,0.0,8.0,170,68.46000000000001,60.11200000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '81.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.8'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.13'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,297395.0,85.89,62.424,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Fulham,Liverpool,20.0,Sasa Lukic,DMC,True,10.660334611028226,0.0,7.555882577461709,S. Lukic,1.0,Fulham
7,8,72.0,0.0,9.0,26,13.65,8.5,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.09'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.7'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.0'}]","[91, 117, 30, 139, 36, 37, 215, 218]",True,318871.0,22.575,9.316,,,,,,,,,,,0.15,,,,1.0,0.0,2.0,1.0,0.00779616,0.00942382,0.0016276599999999995,Liverpool,Fulham,66.0,Trent Alexander-Arnold,DR,True,8.800619189267636,0.0,5.223947596268432,T. Alexander-Arnold,1.0,Fulham
8,9,72.5,0.0,10.5,26,22.575,9.316,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,355354.0,31.71,7.82,,,,,,11.0,,,,,0.175,,,,2.0,1.0,3.0,0.0,0.00942382,0.00977659,0.0003527700000000005,Liverpool,Fulham,17.0,Curtis Jones,MC,True,0.0,8.216185138210534,-9.300527643898246,C. Jones,1.0,Fulham
9,10,11.0,0.0,12.0,26,31.71,7.82,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,355354.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Liverpool,Fulham,17.0,Curtis Jones,MC,True,0.0,0.0,,C. Jones,1.0,Fulham
10,11,8.0,0.0,14.0,170,58.905,64.05600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.73'}]","[91, 117, 30, 35, 38, 216, 218]",True,297395.0,44.1,54.128,,,,,,,,,,,0.23333333333333334,,,,6.0,7.0,5.0,6.0,0.01473596,0.0138454,-0.0008905599999999986,Fulham,Liverpool,20.0,Sasa Lukic,DMC,True,-9.111767784719724,0.0,-146.1548167720916,S. Lukic,1.0,Fulham
11,12,8.5,0.0,16.5,170,44.1,54.128,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,300359.0,42.73500000000001,44.064,,,,,,9.0,,,,,0.275,,,,5.0,6.0,4.0,5.0,0.0138454,0.01269174,-0.0011536600000000008,Fulham,Liverpool,31.0,Issa Diop,DC,True,0.0,1.0669657472271297,-97.7240050818331,I. Diop,1.0,Fulham
12,13,9.0,0.0,19.0,170,42.73500000000001,44.064,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.51'}]","[91, 117, 30, 35, 38, 216, 218]",True,300359.0,39.9,30.328000000000003,,,,,,,,,,,0.31666666666666665,,,,4.0,5.0,4.0,3.0,0.01269174,0.01262646,-6.527999999999916e-05,Fulham,Liverpool,31.0,Issa Diop,DC,True,-2.1303911750602396,0.0,-101.66164234294659,I. Diop,1.0,Fulham
13,14,10.0,0.0,21.0,170,39.69,31.348000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.11'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,145996.0,32.445,43.52,,,,,,,,,,,0.35,,,,4.0,3.0,3.0,5.0,0.01262646,0.01110462,-0.00152184,Fulham,Liverpool,2.0,Kenny Tete,DR,True,-7.813076336366407,0.0,120.76189197791241,K. Tete,1.0,Fulham
14,15,10.5,0.0,22.0,170,32.445,43.52,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,300359.0,29.400000000000002,46.988,,,,,,11.0,,,,,0.36666666666666664,,,,3.0,5.0,3.0,5.0,0.01110462,0.01110462,0.0,Fulham,Liverpool,31.0,Issa Diop,DC,True,0.0,-3.530651294314808,131.28402828187217,I. Diop,1.0,Fulham
15,16,11.0,0.0,23.0,170,29.400000000000002,46.988,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '7.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.67'}]","[91, 117, 30, 35, 38, 215, 218]",True,300359.0,8.295,34.612,,,,,,,,,,,0.3833333333333333,,,,3.0,5.0,0.0,4.0,0.01110462,0.00941056,-0.0016940600000000007,Fulham,Liverpool,31.0,Issa Diop,DC,True,-19.999387050260893,0.0,-149.61258375155032,I. Diop,1.0,Fulham
16,17,11.5,0.0,25.0,170,8.295,34.612,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,92173.0,8.19,31.552,,,,,,12.0,,,,,0.41666666666666663,,,,0.0,4.0,0.0,3.0,0.00941056,0.00941056,0.0,Fulham,Liverpool,1.0,Bernd Leno,GK,True,0.0,-0.13400939693225666,-91.96526057192054,B. Leno,1.0,Fulham
17,18,12.0,0.0,27.0,170,8.19,31.552,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '8.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.74'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 38, 215, 218]",True,92173.0,8.82,6.256,,,,,,,,,,,0.45,,,,0.0,3.0,1.0,0.0,0.00941056,0.00779616,-0.0016144000000000002,Fulham,Liverpool,1.0,Bernd Leno,GK,True,-3.260612203590739,0.0,-88.57333646551068,B. Leno,1.0,Fulham
18,19,13.0,0.0,30.0,170,8.82,5.372000000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.12'}]","[91, 118, 120, 29, 36, 37, 215, 218]",True,145996.0,32.13,8.092,,,,,,,,,,,0.5,,,,,,,,,,,Fulham,Liverpool,2.0,Kenny Tete,DR,True,23.01154589642637,0.0,6.655637535344604,K. Tete,1.0,Fulham
19,20,9.0,0.0,31.0,26,71.82000000000001,57.25600000000001,0.0,FirstHalf,OffsidePass,Successful,"[{'type': {'value': 7, 'displayName': 'PlayerCaughtOffside'}, 'value': '352825'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '83.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.0'}]","[91, 217]",True,115726.0,87.78,63.92,,,,,,,,,,,0.5166666666666666,,,,,,,,,,,Liverpool,Fulham,26.0,Andy Robertson,DL,True,0.0,0.0,22.6626762323619,A. Robertson,1.0,Fulham
20,21,14.0,0.0,31.0,170,19.635,23.12,0.0,FirstHalf,OffsideProvoked,Successful,[],[62],False,300359.0,,,,,,,,,,,,,0.5166666666666666,,,,,,,,,,,Fulham,Liverpool,31.0,Issa Diop,DC,True,0.0,0.0,,I. Diop,1.0,Fulham
21,22,16.0,0.0,56.0,170,0.0,0.0,0.0,FirstHalf,Card,Successful,"[{'type': {'value': 31, 'displayName': 'Yellow'}}, {'type': {'value': 13, 'displayName': 'Foul'}, 'value': '243'}]",[65],False,300359.0,,,,,,,,,,,"{'value': 31, 'displayName': 'Yellow'}",,0.9333333333333333,,,,,,,,,,,Fulham,Liverpool,31.0,Issa Diop,DC,True,0.0,0.0,,I. Diop,1.0,Fulham
22,23,18.0,3.0,3.0,170,20.265,14.280000000000001,3.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.04'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.9'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 241, 'displayName': 'IndirectFreekickTaken'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 132, 36, 37, 215, 218]",True,92173.0,25.830000000000002,23.732,,,,,,,,,,,3.05,,,,2.0,1.0,2.0,2.0,0.00942382,0.01001304,0.0005892200000000014,Fulham,Liverpool,1.0,Bernd Leno,GK,True,7.166336996590175,0.0,59.51194294186567,B. Leno,1.0,Fulham
23,24,18.5,3.0,6.0,170,25.830000000000002,23.732,3.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,300359.0,34.86000000000001,27.676000000000005,,,,,,19.0,,,,,3.0999999999999996,,,,2.0,2.0,3.0,3.0,0.01001304,0.01132376,0.0013107199999999996,Fulham,Liverpool,31.0,Issa Diop,DC,True,0.0,9.408563519164105,23.594085601860602,I. Diop,1.0,Fulham
24,25,19.0,3.0,9.0,170,34.86000000000001,27.676000000000005,3.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.82'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '51.8'}]","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,300359.0,70.35000000000001,65.41600000000001,,,,,,,,,,,3.15,,,,4.0,3.0,8.0,7.0,0.01262646,0.02122129,0.00859483,Fulham,Liverpool,31.0,Issa Diop,DC,True,23.652863529032153,0.0,46.75986562960875,I. Diop,1.0,Fulham
