level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,167,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man City,Man Utd,,nan,,,0.0,0.0,,nan,1.0,Man City
1,2,3.0,0.0,0.0,32,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man Utd,Man City,,nan,,,0.0,0.0,,nan,1.0,Man City
2,3,4.0,0.0,0.0,167,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.06'}]","[91, 117, 30, 35, 37, 215, 218]",True,331254.0,25.935,36.108000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,2.0,4.0,0.01689528,0.01016549,-0.006729789999999999,Man City,Man Utd,47.0,Phil Foden,MC,True,-26.593096342221926,0.0,175.46294193088224,P. Foden,1.0,Man City
3,4,4.5,0.0,3.0,167,25.935,36.108000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,121774.0,29.085,38.556000000000004,,,,,,5.0,,,,,0.05,,,,2.0,4.0,3.0,4.0,0.01016549,0.01132376,0.0011582700000000012,Man City,Man Utd,31.0,Ederson,GK,True,0.0,3.041506214204233,37.85231021361412,Ederson,1.0,Man City
4,5,5.0,0.0,6.0,167,29.085,38.556000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.90'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '50.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.3'}]","[91, 119, 117, 127, 205, 36, 38, 217, 218]",True,121774.0,75.915,19.720000000000002,,,,,,,,,,,0.1,,,,3.0,4.0,8.0,2.0,0.01132376,0.0241224,0.012798639999999998,Man City,Man Utd,31.0,Ederson,GK,True,43.65011446717781,0.0,-21.911017130332393,Ederson,1.0,Man City
5,6,5.5,0.0,7.5,167,75.915,19.720000000000002,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,315227.0,77.385,15.98,,,,,,6.0,,,,,0.125,,,,8.0,2.0,8.0,1.0,0.0241224,0.02401521,-0.00010719000000000006,Man City,Man Utd,9.0,Erling Haaland,FW,True,0.0,-0.5728874869147589,-68.54278467893482,E. Haaland,1.0,Man City
6,7,6.0,0.0,9.0,167,77.385,15.98,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[197, 199]",False,315227.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Man City,Man Utd,9.0,Erling Haaland,FW,True,0.0,0.0,,E. Haaland,1.0,Man City
7,8,4.0,0.0,9.0,32,27.615000000000002,52.02,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[198, 200]",False,99487.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Man Utd,Man City,5.0,Harry Maguire,DC,True,0.0,0.0,,H. Maguire,2.0,Man Utd
8,9,7.0,0.0,9.0,167,76.02000000000001,19.720000000000002,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.65'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.9'}]","[91, 120, 29, 139, 35, 37, 217, 218]",True,315227.0,74.44500000000001,38.48800000000001,,,,,,,,,,,0.15,,,,,,,,,,,Man City,Man Utd,9.0,Erling Haaland,FW,True,1.424410281390628,0.0,94.7969897602779,E. Haaland,2.0,Man Utd
9,10,5.0,0.0,12.0,32,27.195,23.596000000000004,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 101, 56]",True,386634.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Man Utd,Man City,16.0,Amad Diallo,FWR,True,0.0,0.0,,A. Diallo,2.0,Man Utd
