id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam
2759675885,Miss,8456,815006,Phil Foden,83.38592233,23.92917198,21,,FALSE,FALSE,,,29.21142857,0.622842102,0.021390721,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 2, 'y': 0.13006845805785555, 'zoomRatio': 0.7893794747048395}",FALSE,FALSE,,Phil,Foden,Phil Foden,#69A8D8,4506448,Man City,Man Utd
2759677517,AttemptSaved,8456,815006,Phil Foden,94.77192982,24.84,23,,TRUE,TRUE,95.7368421,25.4759375,32.78,1.219999994,0.052745424,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.3227513227513243, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Phil,Foden,Phil Foden,#69A8D8,4506448,Man City,Man Utd
2759677961,Miss,8456,614006,Ruben Dias,102.6293103,34.4575,23,,FALSE,FALSE,,,33.31375,6.27048277,0.475874752,0,Header,FromCorner,FirstHalf,FALSE,"{'x': 1.0741189987724435, 'y': 0.6772486772486772, 'zoomRatio': 0.4082620260252617}",FALSE,TRUE,,Ruben,Dias,Ruben Dias,#69A8D8,4506448,Man City,Man Utd
2759682885,AttemptSaved,10260,847983,Lisandro Martinez,86.88970588,49.04535032,32,,TRUE,TRUE,94.09649123,43.37019108,33.77125,1.219999994,0.031652182,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.0605158730158726, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,FALSE,,Lisandro,Martinez,Lisandro Martinez,#C70101,4506448,Man Utd,Man City
2759682927,Miss,10260,1035614,Manuel Ugarte,79.66941748,39.04071429,32,,FALSE,FALSE,,,19.79541402,6.635448289,0.025266936,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 2, 'y': 0.46713422665332044, 'zoomRatio': 0.2661112407024552}",FALSE,FALSE,,Manuel,Ugarte,Manuel Ugarte,#C70101,4506448,Man Utd,Man City
2759684577,AttemptSaved,10260,1070052,Amad Diallo,91.7,23.15847134,35,,TRUE,TRUE,98.24561403,29.21142857,35.525,1.219999994,0.032865908,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.5965608465608451, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Amad,Diallo,Amad Diallo,#C70101,4506448,Man Utd,Man City
2759685493,AttemptSaved,8456,942368,Jeremy Doku,93.5,50.30649681,36,,TRUE,TRUE,95.83333333,47.29375796,35.90625,1.219999994,0.016309584,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.49570105820105825, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Jérémy,Doku,Jérémy Doku,#69A8D8,4506448,Man City,Man Utd
2759686117,Goal,8456,1070712,Josko Gvardiol,97.95614035,30.56875,36,,FALSE,TRUE,,,34.99125,1.13652631,0.075913675,0.159770116,Header,FromCorner,FirstHalf,FALSE,"{'x': 0.73776455026455, 'y': 0.30066833603174603, 'zoomRatio': 1}",FALSE,TRUE,611491,Josko,Gvardiol,Josko Gvardiol,#69A8D8,4506448,Man City,Man Utd
2759688871,Miss,10260,769895,Matthijs de Ligt,95.54385965,28.87523809,40,,FALSE,FALSE,98.24561403,33.61875,43.72050955,1.245684204,0.025960624,0,Header,SetPiece,FirstHalf,FALSE,"{'x': -2.220446049250313e-16, 'y': 0.1281500931697253, 'zoomRatio': 0.38886850332575484}",FALSE,TRUE,,Matthijs,de Ligt,Matthijs de Ligt,#C70101,4506448,Man Utd,Man City
2759690457,AttemptSaved,8456,169200,Kevin De Bruyne,82.3723301,2.03336493,42,,FALSE,TRUE,101.8706897,21.33681529,31.78875,1.463999993,0.011971703,0.057998706,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.5849867724867723, 'y': 0.38730158539682535, 'zoomRatio': 1}",FALSE,FALSE,611491,Kevin,De Bruyne,Kevin De Bruyne,#69A8D8,4506448,Man City,Man Utd
2759695101,AttemptSaved,8456,815006,Phil Foden,86.56764706,30.95,45,4,FALSE,TRUE,103.6724138,33.16125,37.2025,0.282526314,0.07604152,0.638079822,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.15277777777777768, 'y': 0.07474241121693122, 'zoomRatio': 1}",FALSE,FALSE,611491,Phil,Foden,Phil Foden,#69A8D8,4506448,Man City,Man Utd
2759713007,AttemptSaved,10260,1070052,Amad Diallo,86.46029412,23.6489172,50,,TRUE,TRUE,89.2,24.84,32.17,1.219999994,0.038521435,0,LeftFoot,FastBreak,SecondHalf,FALSE,"{'x': 1.4841269841269837, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,FALSE,,Amad,Diallo,Amad Diallo,#C70101,4506448,Man Utd,Man City
2759724427,AttemptSaved,10260,1070052,Amad Diallo,93.8,31.56,62,,FALSE,TRUE,103.9568966,33.16125,30.645,1.059473679,0.059451785,0.483869642,Header,RegularPlay,SecondHalf,FALSE,"{'x': 1.8875661375661386, 'y': 0.28028404206349206, 'zoomRatio': 1}",FALSE,TRUE,363364,Amad,Diallo,Amad Diallo,#C70101,4506448,Man Utd,Man City
2759728121,Miss,8456,169200,Kevin De Bruyne,83.04805825,30.256,67,,FALSE,FALSE,,,33.92375,4.463034489,0.044204641,0,LeftFoot,RegularPlay,SecondHalf,FALSE,"{'x': 1.0115706503657553, 'y': 0.6772486772486772, 'zoomRatio': 0.5736007656728462}",FALSE,FALSE,,Kevin,De Bruyne,Kevin De Bruyne,#69A8D8,4506448,Man City,Man Utd
2759734243,Miss,10260,422685,Bruno Fernandes,93,24.41961784,74,,FALSE,FALSE,,,40.21738095,0.712736839,0.455982745,0,RightFoot,FastBreak,SecondHalf,FALSE,"{'x': 1.1102230246251565e-16, 'y': 0.11463618587760672, 'zoomRatio': 0.6079730401876178}",FALSE,TRUE,,Bruno,Fernandes,Bruno Fernandes,#C70101,4506448,Man Utd,Man City
