level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,183,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Bournemouth,Man Utd,,nan,,,0.0,0.0,,nan,1.0,Bournemouth
1,2,3.0,0.0,0.0,32,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man Utd,Bournemouth,,nan,,,0.0,0.0,,nan,1.0,Bournemouth
2,3,4.0,0.0,0.0,183,52.29,33.728,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.56'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.7'}]","[91, 117, 30, 35, 38, 216, 218]",True,128882.0,47.98500000000001,31.824,,,,,,,,,,,0.0,,,,6.0,3.0,5.0,3.0,0.01689528,0.01484598,-0.0020492999999999987,Bournemouth,Man Utd,10.0,Ryan Christie,DMC,True,-4.345807042278565,0.0,-156.14132328599575,R. Christie,1.0,Bournemouth
3,4,5.0,0.0,1.0,183,46.725,33.252,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.60'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 216, 218]",True,315275.0,46.095,56.440000000000005,,,,,,,,,,,0.016666666666666666,,,,5.0,3.0,5.0,6.0,0.01484598,0.0138454,-0.0010005799999999992,Bournemouth,Man Utd,12.0,Tyler Adams,DMC,True,-4.754734825746866,0.0,91.55629909081706,T. Adams,1.0,Bournemouth
4,5,5.5,0.0,4.0,183,46.095,56.440000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,424273.0,78.435,60.18000000000001,,,,,,6.0,,,,,0.06666666666666667,,,,5.0,6.0,9.0,7.0,0.0138454,0.02756312,0.01371772,Bournemouth,Man Utd,3.0,Milos Kerkez,DL,True,0.0,25.73719445425634,6.596738297894217,M. Kerkez,1.0,Bournemouth
5,6,6.0,0.0,7.0,183,78.435,60.18000000000001,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 69]",True,424273.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Bournemouth,Man Utd,3.0,Milos Kerkez,DL,True,0.0,0.0,,M. Kerkez,1.0,Bournemouth
6,7,4.0,0.0,7.0,32,9.135,9.996,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,386634.0,9.135,9.996,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Man Utd,Bournemouth,16.0,Amad Diallo,AMC,True,0.0,0.0,0.0,A. Diallo,2.0,Man Utd
7,8,5.0,0.0,10.0,32,9.240000000000002,9.996,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '4.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.85'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 215, 218]",True,386634.0,4.41,26.588000000000005,,,,,,,,,,,0.16666666666666666,,,,1.0,1.0,0.0,3.0,0.00878589,0.00941056,0.0006246700000000008,Man Utd,Bournemouth,16.0,Amad Diallo,AMC,True,-2.140017413459958,0.0,106.23049702608387,A. Diallo,2.0,Man Utd
8,9,6.0,0.0,11.0,32,3.7800000000000002,27.404,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.62'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '37.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.7'}]","[91, 117, 127, 36, 38, 215, 218]",True,260843.0,33.285000000000004,4.352,,,,,,,,,,,0.18333333333333332,,,,0.0,3.0,3.0,0.0,0.00941056,0.00977659,0.00036602999999999983,Man Utd,Bournemouth,24.0,Andre Onana,GK,True,23.83284930425019,0.0,-38.00020208682317,A. Onana,2.0,Man Utd
9,10,7.0,0.0,13.0,32,32.865,3.8760000000000003,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 70]",True,383956.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Man Utd,Bournemouth,11.0,Joshua Zirkzee,FW,True,0.0,0.0,,J. Zirkzee,2.0,Man Utd
10,11,7.0,0.0,15.0,183,72.135,64.12400000000001,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 143]",True,315275.0,,,,,,,,,,,,,0.25,,,,,,,,,,,Bournemouth,Man Utd,12.0,Tyler Adams,DMC,True,0.0,0.0,,T. Adams,3.0,Bournemouth
11,12,8.0,0.0,16.0,183,75.81,63.51200000000001,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,424273.0,75.81,63.51200000000001,,,,,,,,,,,0.26666666666666666,,,,,,,,,,,Bournemouth,Man Utd,3.0,Milos Kerkez,DL,True,0.0,0.0,0.0,M. Kerkez,3.0,Bournemouth
12,13,9.0,0.0,16.0,183,75.81,63.51200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '87.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.58'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,424273.0,80.42999999999999,59.568,,,,,,,,,,,0.26666666666666666,,,,9.0,7.0,9.0,7.0,0.02756312,0.02756312,0.0,Bournemouth,Man Utd,3.0,Milos Kerkez,DL,True,6.049264211038711,0.0,-40.48671142326083,M. Kerkez,3.0,Bournemouth
13,14,10.0,0.0,17.0,183,79.38,59.364000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.9'}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.33'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 29, 35, 38, 217, 218]",True,422183.0,74.44500000000001,46.988,,,,,,,,,,,0.2833333333333333,,,,,,,,,,,Bournemouth,Man Utd,11.0,Dango Ouattara,AML,True,2.8507406868690452,0.0,-111.73992135633316,D. Ouattara,3.0,Bournemouth
14,15,8.0,0.0,18.0,32,24.990000000000002,18.360000000000003,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,99487.0,24.990000000000002,18.360000000000003,,,,,,,,,,,0.3,,,,,,,,,,,Man Utd,Bournemouth,5.0,Harry Maguire,DC,True,0.0,0.0,0.0,H. Maguire,4.0,Man Utd
