level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,14,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Leicester,Newcastle,,nan,,,0.0,0.0,,nan,1.0,Newcastle
1,2,3.0,0.0,0.0,23,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Newcastle,Leicester,,nan,,,0.0,0.0,,nan,1.0,Newcastle
2,3,4.0,0.0,0.0,23,52.395,34.136,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.12'}]","[91, 117, 30, 35, 37, 216, 218]",True,299254.0,39.375,34.408,,,,,,,,,,,0.0,,,,6.0,4.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,Newcastle,Leicester,14.0,Alexander Isak,FW,True,-13.02109248440162,0.0,178.80321156371505,A. Isak,1.0,Newcastle
3,4,4.5,0.0,0.5,23,39.375,34.408,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,343501.0,40.32,37.672000000000004,,,,,,5.0,,,,,0.008333333333333333,,,,4.0,4.0,4.0,4.0,0.01262646,0.01262646,0.0,Newcastle,Leicester,8.0,Sandro Tonali,MC,True,0.0,0.8421191124237737,73.85310388616858,S. Tonali,1.0,Newcastle
4,5,5.0,0.0,1.0,23,40.32,37.672000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.81'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.6'}]","[91, 117, 30, 35, 37, 216, 218]",True,343501.0,36.330000000000005,54.33200000000001,,,,,,,,,,,0.016666666666666666,,,,4.0,4.0,4.0,6.0,0.01262646,0.01214719,-0.0004792700000000004,Newcastle,Leicester,8.0,Sandro Tonali,MC,True,-6.8326025271214235,0.0,103.46841488831106,S. Tonali,1.0,Newcastle
5,6,6.0,0.0,4.0,23,35.7,52.836000000000006,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.84'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.9'}]","[91, 117, 30, 35, 38, 215, 218]",True,430294.0,27.195,45.628,,,,,,,,,,,0.06666666666666667,,,,4.0,6.0,3.0,5.0,0.01214719,0.01110462,-0.0010425699999999996,Newcastle,Leicester,20.0,Lewis Hall,DL,True,-6.854868270519987,0.0,-139.71867495649138,L. Hall,1.0,Newcastle
6,7,6.5,0.0,5.0,23,27.195,45.628,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,82277.0,30.975,40.120000000000005,,,,,,7.0,,,,,0.08333333333333334,,,,3.0,5.0,3.0,4.0,0.01110462,0.01132376,0.0002191399999999996,Newcastle,Leicester,33.0,Dan Burn,DC,True,0.0,4.391553103191839,-55.5391837286282,D. Burn,1.0,Newcastle
7,8,7.0,0.0,6.0,23,30.975,40.120000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.63'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.0'}]","[91, 117, 30, 35, 38, 215, 218]",True,82277.0,29.400000000000002,22.032,,,,,,,,,,,0.1,,,,3.0,4.0,3.0,2.0,0.01132376,0.01110462,-0.0002191399999999996,Newcastle,Leicester,33.0,Dan Burn,DC,True,-2.263892467395337,0.0,-94.9764384077931,D. Burn,1.0,Newcastle
8,9,8.0,0.0,8.0,23,29.82,23.12,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.19'}]","[91, 117, 30, 36, 38, 216, 218]",True,82726.0,38.115,7.140000000000001,,,,,,,,,,,0.13333333333333333,,,,3.0,2.0,4.0,0.0,0.01110462,0.01126267,0.00015804999999999986,Newcastle,Leicester,5.0,Fabian Schar,DC,True,3.8864094886334613,0.0,-62.56678957059294,F. Schar,1.0,Newcastle
9,10,9.0,0.0,11.0,23,38.85,6.256,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.29'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '17.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 215, 218]",True,415174.0,18.375,29.444,,,,,,,,,,,0.18333333333333332,,,,4.0,0.0,2.0,3.0,0.01126267,0.01016549,-0.0010971800000000014,Newcastle,Leicester,21.0,Tino Livramento,DR,True,-15.012224224863445,0.0,131.444498343732,T. Livramento,1.0,Newcastle
10,11,10.0,0.0,14.0,23,18.375,29.444,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.56'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '17.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 36, 37, 215, 218]",True,82726.0,18.585,48.96,,,,,,,,,,,0.23333333333333334,,,,1.0,3.0,2.0,5.0,0.01082722,0.01001304,-0.0008141799999999994,Newcastle,Leicester,5.0,Fabian Schar,DC,True,-0.9556363129146916,0.0,89.38349818889199,F. Schar,1.0,Newcastle
