id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam
2758796971,AttemptSaved,10261,906937,Anthony Gordon,90.5,41.3678125,8,,False,True,103.577586207,35.220000000000006,36.97375,1.8685263066000002,0.04004749655723572,0.5609408020973206,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.21329365079365015, 'y': 0.49431912873015876, 'zoomRatio': 1}",False,True,967941.0,Anthony,Gordon,Anthony Gordon,#141413,4506449,Newcastle,Leicester
2758798323,Miss,10261,188058,Daniel Burn,98.6315789471,30.304,8,,False,False,,,33.77125,3.4984827616,0.08936323970556259,0.0,Header,FromCorner,FirstHalf,False,"{'x': 1.044282234750753, 'y': 0.6772486772486772, 'zoomRatio': 0.7317457807993334}",False,True,,Daniel,Burn,Daniel Burn,#141413,4506449,Newcastle,Leicester
2758809035,Miss,10261,850354,Bruno Guimaraes,100.6379310348,27.782619046999997,13,,False,False,,,34.68625,4.7063448344,0.08637921512126923,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 0.9012478003386344, 'y': 0.6772486772486772, 'zoomRatio': 0.5439465423970294}",False,True,,Bruno,Guimaraes,Bruno Guimaraes,#141413,4506449,Newcastle,Leicester
2758820731,AttemptSaved,10261,535936,Joelinton,86.24558823480001,44.5612738809,18,,False,True,103.4827586208,35.75375,35.9825,0.5265263132,0.03737030550837517,0.2307000458240509,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.47552910052910013, 'y': 0.13929267544973545, 'zoomRatio': 1}",False,False,967941.0,,Joelinton,Joelinton,#141413,4506449,Newcastle,Leicester
2758823815,AttemptSaved,8197,1340895,Bilal El Khannous,87.85588235280001,25.418125,20,,True,True,91.9,26.942142857,32.856249999999996,1.2199999940000001,0.0533214695751667,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3025793650793662, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Bilal,El Khannous,Bilal El Khannous,#0d47a1,4506449,Leicester,Newcastle
2758828143,AttemptSaved,10261,867414,Sandro Tonali,81.471359224,35.83,22,,True,True,92.2,35.525000000000006,35.0675,1.2199999940000001,0.1283862143754959,0.0,RightFoot,FreeKick,FirstHalf,False,"{'x': 0.7175925925925919, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Sandro,Tonali,Sandro Tonali,#141413,4506449,Newcastle,Leicester
2758828687,AttemptSaved,10261,188058,Daniel Burn,98.0526315785,41.31,22,,True,True,99.3070175438,39.881190477,34.07625,1.2199999940000001,0.04358379915356636,0.0,Header,SetPiece,FirstHalf,False,"{'x': 0.9798280423280419, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Daniel,Burn,Daniel Burn,#141413,4506449,Newcastle,Leicester
2758834269,AttemptSaved,10261,535936,Joelinton,85.6014705876,51.5676433109,25,,False,True,103.19827586219999,35.220000000000006,33.00875,1.4254736772,0.027981726452708244,0.02942127175629139,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.26223544973545, 'y': 0.3771094384126984, 'zoomRatio': 1}",False,False,967941.0,,Joelinton,Joelinton,#141413,4506449,Newcastle,Leicester
2758838071,AttemptSaved,10261,535936,Joelinton,89.6,34.0,27,,True,True,95.2543859636,34.1525,34.38125,1.2199999940000001,0.12018023431301117,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.8991402116402113, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,,Joelinton,Joelinton,#141413,4506449,Newcastle,Leicester
2758838107,Miss,10261,521148,Jacob Murphy,94.0,29.967857141,27,,False,False,,,41.483437499999994,0.3595789456,0.18912522494792938,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.04804996976322716, 'zoomRatio': 0.5051154633148207}",False,True,,Jacob,Murphy,Jacob Murphy,#141413,4506449,Newcastle,Leicester
2758841629,Miss,10261,1107910,Valentino Livramento,82.7101941752,22.6680254818,29,,False,False,,,44.0708280208,0.2696842092,0.035000529140233994,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.02677875231738661, 'zoomRatio': 0.37534153022898376}",False,False,,Valentino,Livramento,Valentino Livramento,#141413,4506449,Newcastle,Leicester
2758844635,Goal,10261,521148,Jacob Murphy,89.9,33.2375,30,,False,True,,,30.72125,0.3274736826,0.09181033819913864,0.6188615560531616,RightFoot,FromCorner,FirstHalf,False,"{'x': 1.8673941798941804, 'y': 0.08663324936507935, 'zoomRatio': 1}",False,True,967941.0,Jacob,Murphy,Jacob Murphy,#141413,4506449,Newcastle,Leicester
2758859655,Miss,10261,690107,Alexander Isak,98.4385964909,43.650445855,33,,False,False,,,26.2853125,0.1797894728,0.13530418276786804,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.023304828977194485, 'zoomRatio': 0.4899744804958078}",False,True,,Alexander,Isak,Alexander Isak,#141413,4506449,Newcastle,Leicester
2758853449,AttemptSaved,10261,906937,Anthony Gordon,94.9649122793,47.2937579586,34,,True,True,95.640350876,46.312866238400005,32.17,1.2199999940000001,0.029206588864326477,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.4841269841269837, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Anthony,Gordon,Anthony Gordon,#141413,4506449,Newcastle,Leicester
2758858771,AttemptSaved,10261,690107,Alexander Isak,91.5,36.440000000000005,37,,False,True,98.92105263139999,35.0675,32.0175,0.0834736838,0.44749677181243896,0.5891684889793396,RightFoot,FastBreak,FirstHalf,False,"{'x': 1.5244708994709, 'y': 0.02208298513227513, 'zoomRatio': 1}",False,True,967941.0,Alexander,Isak,Alexander Isak,#141413,4506449,Newcastle,Leicester
2758882515,AttemptSaved,8197,873014,Oliver Skipp,87.85588235280001,29.883809522,45,2.0,True,True,90.0,30.244,33.161249999999995,1.2199999940000001,0.020171653479337692,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 1.2218915343915355, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Oliver,Skipp,Oliver Skipp,#0d47a1,4506449,Leicester,Newcastle
2758883797,AttemptSaved,8197,286119,Jamie Vardy,97.4736842099,39.040714287,45,2.0,True,True,98.6315789471,38.032142859000004,33.77125,1.2199999940000001,0.06148044392466545,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 1.0605158730158726, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Jamie,Vardy,Jamie Vardy,#0d47a1,4506449,Leicester,Newcastle
2758906083,Goal,10261,850354,Bruno Guimaraes,103.103448276,31.865,47,,False,True,,,31.7125,1.7850526228,0.7434666156768799,0.9941476583480835,Header,SetPiece,SecondHalf,False,"{'x': 1.6051587301587305, 'y': 0.4722361435978836, 'zoomRatio': 1}",False,True,254472.0,Bruno,Guimaraes,Bruno Guimaraes,#141413,4506449,Newcastle,Leicester
2758911787,Goal,10261,690107,Alexander Isak,101.8706896554,33.61875,50,,False,True,,,30.797499999999996,0.4879999976,0.5964328050613403,0.9889540672302246,Header,RegularPlay,SecondHalf,False,"{'x': 1.8472222222222223, 'y': 0.12910052846560846, 'zoomRatio': 1}",False,True,254472.0,Alexander,Isak,Alexander Isak,#141413,4506449,Newcastle,Leicester
2758916399,Miss,10261,521148,Jacob Murphy,92.9,27.110238095,52,,False,False,,,32.779999999999994,3.4984827616,0.20000678300857544,0.0,RightFoot,FastBreak,SecondHalf,False,"{'x': 1.2361719186706854, 'y': 0.6772486772486772, 'zoomRatio': 0.7317457807993334}",False,True,,Jacob,Murphy,Jacob Murphy,#141413,4506449,Newcastle,Leicester
2758923067,AttemptSaved,8197,1113915,Kasey McAteer,90.4,44.1408917151,55,,False,True,103.2931034484,34.99125,32.24625,0.160526315,0.05054785683751106,0.08668992668390274,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.4639550264550256, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,72241.0,Kasey,McAteer,Kasey McAteer,#0d47a1,4506449,Leicester,Newcastle
2758929981,AttemptSaved,10261,690107,Alexander Isak,91.4,33.5425,57,,False,True,103.4827586208,33.695,33.2375,0.160526315,0.24069207906723022,0.1207524910569191,RightFoot,FastBreak,SecondHalf,False,"{'x': 1.2017195767195774, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,254472.0,Alexander,Isak,Alexander Isak,#141413,4506449,Newcastle,Leicester
2758934945,Goal,10261,521148,Jacob Murphy,96.50877192889999,21.7571974559,60,,False,True,,,33.5425,0.160526315,0.1137547418475151,0.10383061319589615,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.121031746031747, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,254472.0,Jacob,Murphy,Jacob Murphy,#141413,4506449,Newcastle,Leicester
2758940819,AttemptSaved,10261,867414,Sandro Tonali,85.70882352880001,36.821250000000006,62,,True,True,86.99705882319999,36.51625,31.331249999999997,1.2199999940000001,0.030672015622258186,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.7060185185185193, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Sandro,Tonali,Sandro Tonali,#141413,4506449,Newcastle,Leicester
2758958639,AttemptSaved,10261,906937,Anthony Gordon,99.50000000040001,23.9291719792,70,,True,True,99.8793103452,24.6298089222,33.5425,1.2199999940000001,0.02486821822822094,0.0,RightFoot,FromCorner,SecondHalf,False,"{'x': 1.121031746031747, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Anthony,Gordon,Anthony Gordon,#141413,4506449,Newcastle,Leicester
2758963363,AttemptSaved,10261,760359,Harvey Barnes,96.1228070165,19.3750318497,73,,True,True,98.6315789471,23.9992356735,35.83,1.2199999940000001,0.016414036974310875,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.5158730158730164, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Harvey,Barnes,Harvey Barnes,#141413,4506449,Newcastle,Leicester
2758963601,Miss,10261,867414,Sandro Tonali,97.4736842099,23.5087898134,73,,False,False,,,29.547619046,0.8925263114,0.05282370373606682,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.20046045489395029, 'zoomRatio': 0.8489839569105302}",False,True,,Sandro,Tonali,Sandro Tonali,#141413,4506449,Newcastle,Leicester
2758975363,Miss,10261,760359,Harvey Barnes,81.80922330160001,25.418125,78,,False,False,,,28.118809523000003,0.5329473658000001,0.019411880522966385,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.09061896020614134, 'zoomRatio': 0.6427270150121346}",False,False,,Harvey,Barnes,Harvey Barnes,#141413,4506449,Newcastle,Leicester
2758977599,AttemptSaved,10261,760359,Harvey Barnes,98.92105263139999,20.706242041399996,79,,False,True,103.9568965518,30.304,33.084999999999994,1.0145263108,0.08668936043977737,0.08916768431663513,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.2420634920634936, 'y': 0.2683932039153439, 'zoomRatio': 1}",False,True,254472.0,Harvey,Barnes,Harvey Barnes,#141413,4506449,Newcastle,Leicester
2758989665,AttemptSaved,10261,760359,Harvey Barnes,81.6966019424,35.9825,85,,False,True,103.4827586208,34.1525,33.466249999999995,0.5714736814000001,0.027749555185437202,0.01199174765497446,RightFoot,FromCorner,SecondHalf,False,"{'x': 1.141203703703705, 'y': 0.15118351359788362, 'zoomRatio': 1}",False,False,254472.0,Harvey,Barnes,Harvey Barnes,#141413,4506449,Newcastle,Leicester
2758992287,Miss,10261,1197655,Lewis Hall,98.24561403470001,36.8975,87,,False,False,,,43.650445855,0.6228421022,0.13547225296497345,0.0,Header,RegularPlay,SecondHalf,False,"{'x': 0, 'y': 0.06454024109956524, 'zoomRatio': 0.3916917473861108}",False,True,,Lewis,Hall,Lewis Hall,#141413,4506449,Newcastle,Leicester
