level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,24,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Aston Villa,Nottingham Forest,,nan,,,0.0,0.0,,nan,1.0,Aston Villa
1,2,3.0,0.0,0.0,174,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Nottingham Forest,Aston Villa,,nan,,,0.0,0.0,,nan,1.0,Aston Villa
2,3,4.0,0.0,0.0,24,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.07'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 216, 218]",True,433517.0,49.77,30.328000000000003,,,,,,,,,,,0.0,,,,6.0,3.0,5.0,3.0,0.01689528,0.01484598,-0.0020492999999999987,Aston Villa,Nottingham Forest,9.0,Jhon Duran,FW,True,-2.8519329743776893,0.0,-126.62947616886967,J. Duran,1.0,Aston Villa
3,4,5.0,0.0,0.0,24,49.77,30.328000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.58'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 216, 218]",True,362824.0,44.83500000000001,33.456,,,,,,,,,,,0.0,,,,5.0,3.0,5.0,3.0,0.01484598,0.01484598,0.0,Aston Villa,Nottingham Forest,27.0,Morgan Rogers,AMC,True,-4.815526345424068,0.0,147.63184538693693,M. Rogers,1.0,Aston Villa
4,5,6.0,0.0,1.0,24,44.83500000000001,33.456,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.33'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '61.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}]","[91, 117, 30, 35, 37, 216, 218]",True,136345.0,36.645,42.092,,,,,,,,,,,0.016666666666666666,,,,5.0,3.0,4.0,4.0,0.01484598,0.01262646,-0.002219519999999999,Aston Villa,Nottingham Forest,8.0,Youri Tielemans,DMC,True,-8.664847695145802,0.0,133.48163939975697,Y. Tielemans,1.0,Aston Villa
5,6,6.5,0.0,4.5,24,36.645,42.092,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,331790.0,39.69,46.92,,,,,,7.0,,,,,0.075,,,,4.0,4.0,4.0,5.0,0.01262646,0.01269174,6.527999999999916e-05,Aston Villa,Nottingham Forest,44.0,Boubacar Kamara,DMC,True,0.0,2.256617007257816,57.760536282307896,B. Kamara,1.0,Aston Villa
6,7,7.0,0.0,8.0,24,39.69,46.92,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.46'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.9'}]","[91, 117, 30, 36, 37, 216, 218]",True,331790.0,41.475,63.17200000000001,,,,,,,,,,,0.13333333333333333,,,,4.0,5.0,4.0,7.0,0.01269174,0.01126267,-0.0014290699999999993,Aston Villa,Nottingham Forest,44.0,Boubacar Kamara,DMC,True,-3.3273228672929775,0.0,83.73217629169388,B. Kamara,1.0,Aston Villa
7,8,7.5,0.0,9.0,24,41.475,63.17200000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,89925.0,38.22,60.656000000000006,,,,,,8.0,,,,,0.15,,,,4.0,7.0,4.0,7.0,0.01126267,0.01126267,0.0,Aston Villa,Nottingham Forest,12.0,Lucas Digne,DL,True,0.0,-2.000469210379464,-142.29724396054104,L. Digne,1.0,Aston Villa
8,9,8.0,0.0,10.0,24,38.22,60.656000000000006,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.69'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 215, 218]",True,89925.0,24.57,52.224000000000004,,,,,,,,,,,0.16666666666666666,,,,4.0,7.0,2.0,6.0,0.01126267,0.00942382,-0.0018388500000000012,Aston Villa,Nottingham Forest,12.0,Lucas Digne,DL,True,-10.5652942848496,0.0,-148.29517461199916,L. Digne,1.0,Aston Villa
9,10,8.5,0.0,14.5,24,24.57,52.224000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,344259.0,31.395,44.812000000000005,,,,,,9.0,,,,,0.24166666666666664,,,,2.0,6.0,3.0,5.0,0.00942382,0.01110462,0.0016808000000000014,Aston Villa,Nottingham Forest,14.0,Pau Torres,DC,True,0.0,8.073915196875348,-47.361001891441546,P. Torres,1.0,Aston Villa
