level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,18,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Southampton,Tottenham,,nan,,,0.0,0.0,,nan,1.0,Tottenham
1,2,3.0,0.0,0.0,30,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Tottenham,Southampton,,nan,,,0.0,0.0,,nan,1.0,Tottenham
2,3,4.0,0.0,0.0,30,52.605000000000004,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.01'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '3.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.6'}]","[91, 117, 30, 35, 37, 216, 218]",True,136459.0,48.93000000000001,34.408,,,,,,,,,,,0.0,,,,6.0,3.0,5.0,4.0,0.01689528,0.01484598,-0.0020492999999999987,Tottenham,Southampton,19.0,Dominic Solanke,FW,True,-3.676440284197888,0.0,172.61991977587903,D. Solanke,1.0,Tottenham
3,4,4.5,0.0,1.0,30,48.93000000000001,34.408,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,137015.0,55.230000000000004,27.404,,,,,,5.0,,,,,0.016666666666666666,,,,5.0,4.0,6.0,3.0,0.01484598,0.01689528,0.0020492999999999987,Tottenham,Southampton,10.0,James Maddison,AMC,True,0.0,5.8663042395528535,-48.02906214523589,J. Maddison,1.0,Tottenham
4,5,5.0,0.0,2.0,30,55.230000000000004,27.404,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.92'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,137015.0,60.58500000000001,2.108,,,,,,,,,,,0.03333333333333333,,,,6.0,3.0,7.0,0.0,0.01689528,0.0174506,0.0005553200000000015,Tottenham,Southampton,10.0,James Maddison,AMC,True,-4.473809294815844,0.0,-78.04731785306593,J. Maddison,1.0,Tottenham
5,6,6.0,0.0,5.0,30,59.535000000000004,3.5360000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.51'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 30, 35, 37, 216, 218]",True,355855.0,53.865,7.684000000000001,,,,,,,,,,,0.08333333333333333,,,,7.0,0.0,6.0,0.0,0.0174506,0.01473596,-0.002714640000000001,Tottenham,Southampton,21.0,Dejan Kulusevski,AMR,True,-2.7816008851241634,0.0,143.8119297456233,D. Kulusevski,1.0,Tottenham
6,7,6.5,0.0,6.5,30,53.865,7.684000000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,403859.0,48.089999999999996,16.32,,,,,,7.0,,,,,0.10833333333333334,,,,6.0,0.0,5.0,1.0,0.01473596,0.0138454,-0.0008905599999999986,Tottenham,Southampton,29.0,Pape Sarr,DMC,True,0.0,-2.083736401683737,123.77113630401729,P. Sarr,1.0,Tottenham
7,8,7.0,0.0,8.0,30,48.089999999999996,16.32,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.06'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.8'}]","[91, 117, 30, 35, 37, 216, 218]",True,403859.0,44.94,22.304,,,,,,,,,,,0.13333333333333333,,,,5.0,1.0,5.0,2.0,0.0138454,0.01429128,0.0004458799999999992,Tottenham,Southampton,29.0,Pape Sarr,DMC,True,-1.5951935927823584,0.0,117.76248670008633,P. Sarr,1.0,Tottenham
8,9,7.5,0.0,9.0,30,44.94,22.304,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,505295.0,42.525,18.632,,,,,,8.0,,,,,0.15,,,,5.0,2.0,4.0,2.0,0.01429128,0.01269174,-0.00159954,Tottenham,Southampton,15.0,Lucas Bergvall,DMC,True,0.0,-3.14916578572295,-123.33210915341867,L. Bergvall,1.0,Tottenham
9,10,8.0,0.0,10.0,30,42.525,18.632,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.91'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.7'}]","[91, 117, 30, 36, 38, 216, 218]",True,505295.0,45.57,3.196,,,,,,,,,,,0.16666666666666666,,,,5.0,2.0,5.0,0.0,0.01429128,0.01248344,-0.0018078399999999998,Tottenham,Southampton,15.0,Lucas Bergvall,DMC,True,-2.6014624443674705,0.0,-78.84076097068468,L. Bergvall,1.0,Tottenham
