id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam
2759778835,Goal,8586,493165,James Maddison,95.9298245603,25.7071875,1,,False,True,,,35.90625,0.20547368320000003,0.4761796295642853,0.35007786750793457,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.49570105820105825, 'y': 0.05435811724867726, 'zoomRatio': 1}",False,True,119079.0,James,Maddison,James Maddison,#132257,4506451,Tottenham,Southampton
2759786837,Miss,8586,894803,Djed Spence,91.9,27.110238095,10,,False,False,93.0,29.211428570000002,52.1281528653,3.3768275888,0.06100312992930412,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.18627532622276996, 'zoomRatio': 0.20851545262702886}",False,True,,Djed,Spence,Djed Spence,#132257,4506451,Tottenham,Southampton
2759786887,AttemptSaved,8586,935379,Dejan Kulusevski,92.9,22.177579621699998,10,,True,True,94.2894736826,23.3686624248,32.70374999999999,1.2199999940000001,0.013827143236994743,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 1.3429232804232825, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Dejan,Kulusevski,Dejan Kulusevski,#132257,4506451,Tottenham,Southampton
2759787217,AttemptSaved,8586,212867,Heung-Min Son,95.35087719170001,46.1727388498,10,,False,True,103.6724137932,37.05,36.21125,0.1219999994,0.023626035079360008,0.061358604580163956,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.41501322751322767, 'y': 0.032275132116402115, 'zoomRatio': 1}",False,True,119079.0,Heung-Min,Son,Heung-Min Son,#132257,4506451,Tottenham,Southampton
2759789091,Goal,8586,212867,Heung-Min Son,97.1842105256,44.841528658099996,12,,False,True,,,36.51625,0.28252631440000003,0.04910033196210861,0.30990004539489746,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.33432539682539697, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,True,119079.0,Heung-Min,Son,Heung-Min Son,#132257,4506451,Tottenham,Southampton
2759791165,AttemptSaved,8586,591734,Dominic Solanke,100.06896551759999,34.22875,14,,True,True,101.3965517244,34.68625,35.9825,1.2199999940000001,0.2827180027961731,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.47552910052910013, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Dominic,Solanke,Dominic Solanke,#132257,4506451,Tottenham,Southampton
2759791289,Goal,8586,935379,Dejan Kulusevski,100.9224137934,37.708,14,,False,True,,,35.75375,0.44947368200000004,0.31986111402511597,0.8906262516975403,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.5360449735449745, 'y': 0.11890838148148149, 'zoomRatio': 1}",False,True,119079.0,Dejan,Kulusevski,Dejan Kulusevski,#132257,4506451,Tottenham,Southampton
2759794581,AttemptSaved,8466,519835,Adam Armstrong,96.2192982446,30.304,18,,False,True,103.8620689656,32.779999999999994,33.695,0.9759999952,0.1343298852443695,0.03859469294548035,Header,RegularPlay,FirstHalf,False,"{'x': 1.0806878306878307, 'y': 0.2582010569312169, 'zoomRatio': 1}",False,True,95336.0,Adam,Armstrong,Adam Armstrong,#d71920,4506451,Southampton,Tottenham
2759796115,AttemptSaved,8586,935379,Dejan Kulusevski,99.59482758659999,21.4068789844,19,,True,True,100.25862069,23.2285350362,36.36375,1.2199999940000001,0.04033033922314644,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.37466931216931143, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Dejan,Kulusevski,Dejan Kulusevski,#132257,4506451,Tottenham,Southampton
2759796537,AttemptSaved,8586,212867,Heung-Min Son,85.17205882280001,20.2858598756,20,,True,True,87.31911764680001,21.9673885388,37.27875,1.2199999940000001,0.02029099315404892,0.0,LeftFoot,FromCorner,FirstHalf,False,"{'x': 0.13260582010581956, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Heung-Min,Son,Heung-Min Son,#132257,4506451,Tottenham,Southampton
