level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,26,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Liverpool,Tottenham,,nan,,,0.0,0.0,,nan,1.0,Tottenham
1,2,3.0,0.0,0.0,30,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Tottenham,Liverpool,,nan,,,0.0,0.0,,nan,1.0,Tottenham
2,3,4.0,0.0,0.0,30,52.395,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.26'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 215, 218]",True,137015.0,34.65,32.096000000000004,,,,,,,,,,,0.0,,,,6.0,4.0,4.0,3.0,0.01689528,0.01262646,-0.004268819999999998,Tottenham,Liverpool,10.0,James Maddison,AMC,True,-17.770365305300793,0.0,-173.22535259185824,J. Maddison,1.0,Tottenham
3,4,5.0,0.0,2.0,30,35.28,33.11600000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '87.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.56'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '50.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.1'}]","[91, 120, 128, 36, 37, 217, 218]",True,400097.0,77.80499999999999,59.636,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,Tottenham,Liverpool,6.0,Radu Dragusin,DC,True,32.35218404035057,0.0,31.949032681680478,R. Dragusin,1.0,Tottenham
4,5,4.0,0.0,6.0,26,28.035,4.6240000000000006,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.60'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 118, 120, 29, 139, 36, 37, 215, 218]",True,136451.0,34.44,8.976,,,,,,,,,,,0.1,,,,,,,,,,,Liverpool,Tottenham,2.0,Joe Gomez,DC,True,7.514609128691518,0.0,34.19489925410036,J. Gomez,1.0,Tottenham
5,6,6.0,0.0,8.0,30,73.5,50.79600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.41'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 119, 117, 30, 35, 38, 216, 218]",True,136459.0,68.355,49.368,,,,,,,,,,,0.13333333333333333,,,,8.0,5.0,7.0,5.0,0.0241224,0.01935132,-0.004771079999999997,Tottenham,Liverpool,19.0,Dominic Solanke,FW,True,-4.038910867085093,0.0,-164.48795127243866,D. Solanke,1.0,Tottenham
6,7,7.0,0.0,9.0,30,71.82000000000001,48.96,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.88'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 119, 117, 30, 35, 37, 216, 218]",True,137015.0,68.775,58.480000000000004,,,,,,,,,,,0.15,,,,8.0,5.0,8.0,7.0,0.0241224,0.02122129,-0.0029011099999999984,Tottenham,Liverpool,10.0,James Maddison,AMC,True,-7.324324201198088,0.0,107.73702811129317,J. Maddison,1.0,Tottenham
7,8,8.0,0.0,10.0,30,68.775,58.480000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.81'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 30, 35, 38, 216, 218]",True,403859.0,63.0,53.924,,,,,,,,,,,0.16666666666666666,,,,8.0,6.0,7.0,6.0,0.02401521,0.01870347,-0.005311739999999999,Tottenham,Liverpool,29.0,Pape Sarr,DMC,True,-2.765244165346118,0.0,-141.72946471000375,P. Sarr,1.0,Tottenham
8,9,9.0,0.0,10.0,30,64.47,55.964,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.59'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '89.4'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,303096.0,71.61,60.79200000000001,,,,,,,,,,,0.16666666666666666,,,,7.0,6.0,8.0,7.0,0.01870347,0.02122129,0.0025178200000000005,Tottenham,Liverpool,8.0,Yves Bissouma,DMC,True,3.2887025194155584,0.0,34.06618321424427,Y. Bissouma,1.0,Tottenham
9,10,9.5,0.0,11.0,30,71.61,60.79200000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,362219.0,78.855,60.588,,,,,,10.0,,,,,0.18333333333333335,,,,8.0,7.0,9.0,7.0,0.02122129,0.02756312,0.00634183,Tottenham,Liverpool,24.0,Djed Spence,DL,True,0.0,5.520907200811365,-1.612871153794751,D. Spence,1.0,Tottenham
