level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,211,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brighton,West Ham,,nan,,,0.0,0.0,,nan,1.0,West Ham
1,2,3.0,0.0,0.0,29,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,West Ham,Brighton,,nan,,,0.0,0.0,,nan,1.0,West Ham
2,3,4.0,0.0,0.0,29,52.29,34.408,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.13'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.0'}]","[91, 117, 30, 35, 37, 215, 218]",True,319756.0,26.145,34.68,,,,,,,,,,,0.0,,,,6.0,4.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,West Ham,Brighton,10.0,Lucas Paqueta,MC,True,-26.146352877668967,0.0,179.403943782278,L. Paqueta,1.0,West Ham
3,4,5.0,0.0,3.0,29,26.985,35.7,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.56'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '49.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.1'}]","[91, 120, 128, 36, 37, 216, 218]",True,20973.0,68.565,61.948,,,,,,,,,,,0.05,,,,,,,,,,,West Ham,Brighton,1.0,Lukasz Fabianski,GK,True,32.114025883234284,0.0,32.262785124969106,L. Fabianski,1.0,West Ham
4,5,4.0,0.0,6.0,211,34.65,7.140000000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.02'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.3'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.9'}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,365402.0,51.345,2.652,,,,,,,,,,,0.1,,,,,,,,,,,Brighton,West Ham,29.0,Jan Paul van Hecke,DC,True,13.161847128038474,0.0,-15.046701569809512,J. P. van Hecke,1.0,West Ham
5,6,6.0,0.0,8.0,29,53.445,65.212,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.49'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.4'}]","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,101955.0,57.12,61.47200000000001,,,,,,,,,,,0.13333333333333333,,,,6.0,7.0,6.0,7.0,0.01473596,0.01473596,0.0,West Ham,Brighton,33.0,Emerson,DL,True,5.065467947873174,0.0,-45.50224278882947,Emerson,1.0,West Ham
6,7,7.0,0.0,10.0,29,57.12,60.724000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.67'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '61.1'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 120, 29, 139, 36, 38, 216, 218]",True,322696.0,64.155,55.760000000000005,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,West Ham,Brighton,19.0,Edson Alvarez,DMC,True,8.553368485918007,0.0,-35.207359466158664,E. Alvarez,1.0,West Ham
7,8,5.0,0.0,12.0,211,35.385000000000005,12.24,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,436048.0,35.385000000000005,12.24,,,,,,,,,,,0.2,,,,,,,,,,,Brighton,West Ham,20.0,Carlos Baleba,DMC,True,0.0,0.0,0.0,C. Baleba,2.0,Brighton
8,9,5.5,0.0,12.5,211,35.385000000000005,12.24,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,365402.0,41.580000000000005,19.040000000000003,,,,,,7.0,,,,,0.20833333333333334,,,,4.0,1.0,4.0,2.0,0.01214719,0.01269174,0.0005445499999999995,Brighton,West Ham,29.0,Jan Paul van Hecke,DC,True,0.0,7.776032144620501,47.66555863620327,J. P. van Hecke,2.0,Brighton
9,10,6.0,0.0,13.0,211,38.43,12.512,0.0,FirstHalf,Foul,Successful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 63]",True,436048.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Brighton,West Ham,20.0,Carlos Baleba,DMC,True,0.0,0.0,,C. Baleba,2.0,Brighton
