level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,165,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Ipswich,Wolves,,nan,,,0.0,0.0,,nan,1.0,Ipswich
1,2,3.0,0.0,0.0,161,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Wolves,Ipswich,,nan,,,0.0,0.0,,nan,1.0,Ipswich
2,3,4.0,0.0,0.0,165,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.24'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.5'}]","[91, 117, 30, 35, 38, 215, 218]",True,256129.0,27.825000000000003,31.62,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Ipswich,Wolves,10.0,Conor Chaplin,AMC,True,-24.711689691393232,0.0,-174.49064156297862,C. Chaplin,1.0,Ipswich
3,4,4.5,0.0,1.0,165,27.825000000000003,31.62,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,362826.0,31.919999999999998,32.64,,,,,,5.0,,,,,0.016666666666666666,,,,3.0,3.0,3.0,3.0,0.01132376,0.01132376,0.0,Ipswich,Wolves,26.0,Dara O'Shea,DC,True,0.0,4.119036161780571,13.986850566788798,D. O'Shea,1.0,Ipswich
4,5,5.0,0.0,2.0,165,31.919999999999998,32.64,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '81.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.49'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '61.0'}]","[91, 120, 128, 36, 37, 217, 218]",True,362826.0,85.67999999999999,61.540000000000006,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,Ipswich,Wolves,26.0,Dara O'Shea,DC,True,39.451696349413396,0.0,28.261337028691536,D. O'Shea,1.0,Ipswich
5,6,4.0,0.0,5.0,161,21.419999999999998,3.5360000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.22'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.2'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 117, 30, 139, 36, 37, 215, 218]",True,94042.0,31.71,5.848,,,,,,,,,,,0.08333333333333333,,,,2.0,0.0,3.0,0.0,0.00844854,0.00977659,0.0013280500000000008,Wolves,Ipswich,2.0,Matt Doherty,DMR,True,10.447934331102743,0.0,12.663157975380964,M. Doherty,1.0,Ipswich
6,7,5.0,0.0,8.0,161,31.71,5.848,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,320242.0,31.71,5.848,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Wolves,Ipswich,27.0,Jean-Ricner Bellegarde,AMC,True,0.0,0.0,0.0,J. Bellegarde,1.0,Ipswich
7,8,6.0,0.0,9.0,161,35.28,4.556,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 70]",True,320242.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Wolves,Ipswich,27.0,Jean-Ricner Bellegarde,AMC,True,0.0,0.0,,J. Bellegarde,1.0,Ipswich
8,9,6.0,0.0,9.0,165,69.72000000000001,63.444,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[91, 143]",True,430908.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Ipswich,Wolves,20.0,Omari Hutchinson,AML,True,0.0,0.0,,O. Hutchinson,1.0,Ipswich
9,10,7.0,0.0,10.0,165,72.135,62.016000000000005,0.0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 53]",True,366211.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Ipswich,Wolves,3.0,Leif Davis,DL,True,0.0,0.0,,L. Davis,1.0,Ipswich
10,11,7.0,0.0,10.0,161,32.865,5.984000000000001,0.0,FirstHalf,Tackle,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}]","[91, 142]",True,320242.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Wolves,Ipswich,27.0,Jean-Ricner Bellegarde,AMC,True,0.0,0.0,,J. Bellegarde,2.0,Wolves
11,12,8.0,0.0,12.0,165,75.39,52.564,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}]","[91, 70]",True,401254.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Ipswich,Wolves,19.0,Liam Delap,FW,True,0.0,0.0,,L. Delap,2.0,Wolves
12,13,8.0,0.0,12.0,161,29.61,15.436,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}]","[91, 143]",True,296363.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Wolves,Ipswich,22.0,Nelson Semedo,DC,True,0.0,0.0,,N. Semedo,2.0,Wolves
13,14,9.0,0.0,14.0,161,35.07,20.060000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.11'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.9'}]","[91, 117, 30, 36, 38, 216, 218]",True,362758.0,41.160000000000004,18.972,,,,,,,,,,,0.23333333333333334,,,,4.0,2.0,4.0,2.0,0.01269174,0.01269174,0.0,Wolves,Ipswich,10.0,Matheus Cunha,AMC,True,5.720924371721665,0.0,-10.129230310271032,M. Cunha,2.0,Wolves
