id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam
2758807267,AttemptSaved,9902,605647,Conor Chaplin,85.92352941,31.94125,12,,TRUE,TRUE,87.53382353,32.09375,33.61875,1.219999994,0.032007575,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,FALSE,,Conor,Chaplin,Conor Chaplin,#0333A0,4506452,Ipswich,Wolves
2758815339,AttemptSaved,9902,1215652,Omari Hutchinson,97.85964912,38.11619048,15,,FALSE,TRUE,103.2931034,35.6775,34.07625,0.622842102,0.360181719,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.9798280423280419, 'y': 0.1647730429100529, 'zoomRatio': 1}",TRUE,TRUE,,Omari,Hutchinson,Omari Hutchinson,#0333A0,4506452,Ipswich,Wolves
2758815489,AttemptSaved,9902,605647,Conor Chaplin,89.2,32.85625,15,,FALSE,TRUE,101.112069,32.78,31.63625,0.892526311,0.158878222,0,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.6253306878306886, 'y': 0.2361180717989418, 'zoomRatio': 1}",TRUE,TRUE,,Conor,Chaplin,Conor Chaplin,#0333A0,4506452,Ipswich,Wolves
2758815585,Goal,8602,239920,Matt Doherty,6.754385965,35.3725,15,,FALSE,TRUE,,,32.55125,0.243999999,0,0,OtherBodyParts,RegularPlay,FirstHalf,TRUE,"{'x': 1.3832671957671967, 'y': 0.06455026423280423, 'zoomRatio': 1}",FALSE,TRUE,280287,Matt,Doherty,Matt Doherty,#eb9504,4506452,Wolves,Ipswich
2758823657,Miss,8602,421786,Mario Lemina,77.86747573,30.22,19,,FALSE,FALSE,,,27.1102381,6.878758634,0.028048055,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.6783320050488406, 'y': 0.6772486772486772, 'zoomRatio': 0.372160172505209}",FALSE,FALSE,,Mario,Lemina,Mario Lemina,#eb9504,4506452,Wolves,Ipswich
2758833409,Miss,8602,769166,Jean-Ricner Bellegarde,94.77192982,28.28690476,24,,FALSE,FALSE,,,33.00875,4.828000007,0.128954992,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.13904779418426, 'y': 0.6772486772486772, 'zoomRatio': 0.5302402643293849}",FALSE,TRUE,,Jean-Ricner,Bellegarde,Jean-Ricner Bellegarde,#eb9504,4506452,Wolves,Ipswich
2758851751,AttemptSaved,8602,821100,Jorgen Strand Larsen,95.15789474,42.1771875,33,,FALSE,TRUE,102.8189655,36.745,32.0175,0.282526314,0.213496298,0.470922381,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 1.5244708994709, 'y': 0.07474241121693122, 'zoomRatio': 1}",FALSE,TRUE,760752,Jørgen Strand,Larsen,Jørgen Strand Larsen,#eb9504,4506452,Wolves,Ipswich
2758857979,AttemptSaved,8602,821100,Jorgen Strand Larsen,98.24561403,21.33681529,36,,TRUE,TRUE,99.40350877,23.43872612,34,1.219999994,0.017807651,0,RightFoot,SetPiece,FirstHalf,FALSE,"{'x': 1, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Jørgen Strand,Larsen,Jørgen Strand Larsen,#eb9504,4506452,Wolves,Ipswich
2758859539,AttemptSaved,8602,421786,Mario Lemina,85.92352941,35.60125,37,,TRUE,TRUE,92.6,35.0675,35.44875,0.443052629,0.033011101,0,RightFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.6167328042328032, 'y': 0.11720969031746033, 'zoomRatio': 1}",FALSE,FALSE,,Mario,Lemina,Mario Lemina,#eb9504,4506452,Wolves,Ipswich
2758865329,AttemptSaved,9902,1215652,Omari Hutchinson,79.66941748,35.60125,39,,FALSE,TRUE,103.1982759,34.305,36.97375,0.327473683,0.019104736,0.031660579,LeftFoot,RegularPlay,FirstHalf,FALSE,"{'x': 0.21329365079365015, 'y': 0.08663324936507935, 'zoomRatio': 1}",FALSE,FALSE,280287,Omari,Hutchinson,Omari Hutchinson,#0333A0,4506452,Ipswich,Wolves
2758913189,AttemptSaved,9902,421768,Wes Burns,95.25438596,17.34318472,48,,FALSE,TRUE,103.2931034,30.72125,35.0675,1.13652631,0.032297064,0.031358682,RightFoot,RegularPlay,SecondHalf,FALSE,"{'x': 0.7175925925925919, 'y': 0.30066833603174603, 'zoomRatio': 1}",FALSE,TRUE,280287,Wes,Burns,Wes Burns,#0333A0,4506452,Ipswich,Wolves
2758937701,Miss,9902,1113903,Liam Delap,98.72807018,36.44,59,,FALSE,FALSE,,,47.15363057,1.335578941,0.334749639,0,LeftFoot,RegularPlay,SecondHalf,FALSE,"{'x': -2.220446049250313e-16, 'y': 0.10153690524394891, 'zoomRatio': 0.287373130930193}",FALSE,TRUE,,Liam,Delap,Liam Delap,#0333A0,4506452,Ipswich,Wolves
2758954395,AttemptSaved,9902,980381,Leif Davis,96.02631579,45.96254777,66,,TRUE,TRUE,97.0877193,44.63133758,35.525,1.219999994,0.039761081,0,LeftFoot,RegularPlay,SecondHalf,FALSE,"{'x': 0.5965608465608451, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Leif,Davis,Leif Davis,#0333A0,4506452,Ipswich,Wolves
2758957255,AttemptSaved,8602,933845,Rayan Ait Nouri,94.57894737,46.66318471,68,,TRUE,TRUE,97.37719298,43.65044586,35.60125,1.219999994,0.048774485,0,LeftFoot,RegularPlay,SecondHalf,FALSE,"{'x': 0.5763888888888888, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Rayan Ait,Nouri,Rayan Ait Nouri,#eb9504,4506452,Wolves,Ipswich
2758965559,Goal,8602,863098,Matheus Cunha,97.76315789,47.22369426,72,,FALSE,TRUE,,,37.2025,0.975999995,0.050594967,0.439173162,LeftFoot,RegularPlay,SecondHalf,FALSE,"{'x': 0.15277777777777768, 'y': 0.2582010569312169, 'zoomRatio': 1}",FALSE,TRUE,760752,Matheus,Cunha,Matheus Cunha,#eb9504,4506452,Wolves,Ipswich
2758973567,AttemptSaved,8602,821100,Jorgen Strand Larsen,91.5,37.78,76,,TRUE,TRUE,93.6,37.58375,32.85625,1.219999994,0.070390828,0,RightFoot,RegularPlay,SecondHalf,FALSE,"{'x': 1.3025793650793662, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Jørgen Strand,Larsen,Jørgen Strand Larsen,#eb9504,4506452,Wolves,Ipswich
2758974655,AttemptSaved,8602,863098,Matheus Cunha,91.1,35.75375,76,,TRUE,TRUE,102.25,33.8475,32.85625,1.219999994,0.040760335,0,RightFoot,FromCorner,SecondHalf,FALSE,"{'x': 1.3025793650793662, 'y': 0.32275132116402117, 'zoomRatio': 1}",FALSE,TRUE,,Matheus,Cunha,Matheus Cunha,#eb9504,4506452,Wolves,Ipswich
